Temp (F),RH (%),Dewpt (F),Wind Spd (mph),Wind Direction (deg),Peak Wind Gust(mph),Low Cloud Ht (ft),Med Cloud Ht (ft),High Cloud Ht (ft),Visibility (mi),Atm Press (hPa),Sea Lev Press (hPa),Altimeter (hPa),Precip (in),Wind Chill (F),Heat Index (F),Lake_Visible,LES_Cloud_Exist
31,60,19,8,360,m,5500,m,m,10,1002.9,1026.5,1026.1,0,24,NC,N,N
31,60,19,8,10,m,6000,m,m,10,1003.5,1027.2,1026.8,0,24,NC,N,N
30,68,21,10,340,m,3300,7000,m,10,1004.5,1028.3,1027.8,0,21,NC,N,N
29,74,22,6,360,m,4000,6500,m,10,1005.2,1029.1,1028.4,0,23,NC,N,N
29,74,22,9,340,m,4000,5000,m,10,1005.8,1029.8,1029.1,0,21,NC,N,N
28,74,21,6,360,m,M,m,m,10,1006.8,1030.8,1030.1,0,21,NC,N,N
27,74,20,8,360,m,M,m,m,10,1007.2,1031.4,1030.5,0,19,NC,N,N
27,74,20,6,350,m,M,m,m,10,1007.5,1031.8,1030.8,0,20,NC,N,N
26,80,21,7,350,m,1900,m,m,10,1008.2,1032.4,1031.5,0,18,NC,N,N
27,81,22,8,350,m,4200,m,m,10,1008.8,1033.1,1032.2,0,19,NC,N,N
27,81,22,6,340,m,6500,m,m,10,1009.5,1033.7,1032.8,0,20,NC,N,N
27,81,22,5,340,m,M,m,m,10,1010.2,1034.5,1033.5,0,21,NC,N,N
28,81,23,8,350,m,4200,7000,m,10,1011.2,1035.3,1034.5,0,20,NC,Y,N
29,78,23,9,360,m,6000,m,m,10,1011.8,1036,1035.2,0,21,NC,Y,N
31,68,22,10,350,m,5000,m,m,10,1012.5,1036.6,1035.9,0,22,NC,Y,N
32,60,20,14,340,22,5000,m,m,10,1012.8,1036.9,1036.2,0,22,NC,Y,N
34,56,20,14,330,25,3800,4500,5000,10,1012.8,1037.2,1036.2,0,25,NC,Y,N
32,58,19,15,320,26,3800,4500,m,10,1012.8,1037.1,1036.2,0,22,NC,Y,N
34,53,19,16,300,M,3400,m,m,10,1012.2,1036.5,1035.6,0,24,NC,Y,N
32,53,17,15,310,28,3800,m,m,10,1012.2,1036.5,1035.6,0,22,NC,Y,N
32,49,15,17,320,24,3700,m,m,10,1012.2,1036.6,1035.6,0,21,NC,Y,N
31,53,16,13,310,21,3700,m,m,10,1011.8,1036.3,1035.2,0,21,NC,Y,N
31,53,16,8,310,m,3900,m,m,10,1011.5,1035.8,1034.9,0,24,NC,Y,N
32,53,17,9,320,m,4100,m,m,10,1011.5,1035.9,1034.9,0,24,NC,N,N
31,53,16,7,310,m,3700,4100,m,10,1011.8,1036,1035.2,0,24,NC,N,N
31,56,17,8,290,m,3900,m,m,10,1011.2,1035.6,1034.5,0,24,NC,N,N
31,56,17,8,290,m,3900,m,m,10,1010.8,1035,1034.2,0,24,NC,N,N
32,53,17,11,280,18,3700,m,m,10,1010.5,1034.8,1033.9,0,23,NC,N,N
31,58,18,11,290,m,3300,m,m,10,1010.5,1034.7,1033.9,0,22,NC,N,N
31,58,18,8,300,m,M,m,m,10,1010.2,1034.2,1033.5,0,24,NC,N,N
30,60,18,9,280,m,M,m,m,10,1009.5,1033.7,1032.8,0,22,NC,N,N
32,58,19,9,290,m,M,m,m,10,1009.8,1034,1033.2,0,24,NC,N,N
31,63,20,6,270,m,M,m,m,10,1009.5,1033.5,1032.8,0,25,NC,N,N
32,58,19,8,270,m,M,m,m,10,1008.8,1032.9,1032.2,0,25,NC,N,N
32,60,20,11,260,17,M,m,m,10,1008.2,1032.4,1031.5,0,23,NC,N,N
32,60,20,8,250,m,M,m,m,10,1008.2,1032.2,1031.5,0,25,NC,N,N
32,63,21,11,260,m,M,m,m,10,1007.8,1031.8,1031.2,0,23,NC,Y,N
33,55,19,8,250,18,23000,m,m,10,1007.8,1031.8,1031.2,0,26,NC,Y,Y
35,53,20,13,260,21,23000,m,m,10,1007.5,1031.5,1030.8,0,26,NC,Y,Y
37,51,21,16,230,24,23000,m,m,10,1006.5,1030.5,1029.8,0,28,NC,Y,Y
39,49,22,17,240,23,23000,m,m,10,1006.2,1030.1,1029.5,0,30,NC,Y,Y
40,46,21,23,230,M,23000,m,m,10,1005.2,1029.1,1028.4,0,30,NC,Y,Y
41,44,21,23,220,M,23000,m,m,10,1003.9,1027.8,1027.1,0,31,NC,Y,N
41,46,22,22,230,M,25000,m,m,10,1002.9,1026.8,1026.1,0,31,NC,Y,N
42,44,22,23,220,M,25000,m,m,10,1001.5,1025.5,1024.7,0,32,NC,Y,N
41,44,21,22,210,M,25000,m,m,10,1000.5,1024.3,1023.7,0,31,NC,Y,N
41,48,23,24,210,M,25000,m,m,10,999.9,1023.6,1023,0,31,NC,Y,N
41,52,25,23,210,M,25000,m,m,10,998.9,1022.4,1022,0,31,NC,N,N
41,50,24,28,220,M,20000,m,m,10,998.5,1022.1,1021.7,0,30,NC,N,N
41,54,26,30,210,M,M,m,m,10,997.5,1021.4,1020.7,0,30,NC,N,N
40,59,27,29,220,M,M,m,m,10,997.5,1021,1020.7,0,29,NC,N,N
41,57,27,28,220,M,M,m,m,10,996.9,1020.6,1020,0,30,NC,N,N
41,57,27,25,220,M,M,m,m,10,996.5,1020.3,1019.6,0,31,NC,N,N
41,52,25,28,230,37,M,m,m,10,996.9,1020.5,1020,0,30,NC,N,N
41,52,25,25,230,34,M,m,m,10,996.5,1020.2,1019.6,0,31,NC,N,N
42,48,24,26,230,36,M,m,m,10,996.2,1019.6,1019.3,0,32,NC,N,N
41,52,25,24,230,32,M,m,m,10,995.9,1019.3,1019,0,31,NC,N,N
42,50,25,24,240,33,M,m,m,10,995.2,1018.6,1018.3,0,32,NC,N,N
42,52,26,25,230,32,M,m,m,10,994.5,1017.9,1017.6,0,32,NC,N,N
42,54,27,21,230,M,M,m,m,10,993.9,1017.3,1016.9,0,33,NC,N,N
42,54,27,16,230,M,M,m,m,10,993.5,1017,1016.6,0,34,NC,Y,N
42,54,27,23,230,M,20000,m,m,10,993.5,1017,1016.6,0,32,NC,Y,N
43,55,28,23,220,M,20000,m,m,10,993.5,1017,1016.6,0,34,NC,Y,N
44,55,29,23,220,M,20000,m,m,10,993.2,1016.8,1016.3,0,35,NC,Y,N
45,53,29,22,210,M,23000,m,m,10,993.2,1016.8,1016.3,0,37,NC,Y,N
45,57,31,22,200,M,23000,m,m,10,992.5,1015.9,1015.6,0,37,NC,Y,N
46,55,31,17,210,34,3700,23000,m,10,991.9,1015.1,1014.9,0,39,NC,Y,N
46,55,31,18,210,32,3700,23000,m,10,991.2,1014.6,1014.2,0,39,NC,Y,N
46,55,31,18,210,30,3700,23000,m,10,990.9,1014.2,1013.9,0,39,NC,Y,N
46,55,31,22,220,29,2500,24000,m,10,990.6,1014,1013.5,0,38,NC,Y,N
46,55,31,20,210,29,3000,21000,m,10,990.2,1013.6,1013.2,0,38,NC,Y,N
46,53,30,18,220,M,21000,m,m,10,990.6,1013.9,1013.5,0,39,NC,N,N
48,51,31,21,220,M,21000,m,m,10,990.9,1014.2,1013.9,0,41,NC,N,N
47,55,32,16,230,23,M,m,m,10,990.9,1014.2,1013.9,0,41,NC,N,N
47,58,33,15,220,22,8000,m,m,10,990.6,1014,1013.5,0,41,NC,N,N
48,51,31,21,220,M,8500,m,m,10,990.6,1013.9,1013.5,0,41,NC,N,N
48,53,32,23,220,29,7000,m,m,10,990.6,1013.9,1013.5,0,40,NC,N,N
48,53,32,17,230,31,7000,m,m,10,990.2,1013.6,1013.2,0,42,NC,N,N
48,53,32,18,220,25,9000,m,m,10,990.6,1013.7,1013.5,0,41,NC,N,N
48,53,32,18,230,26,9500,m,m,10,990.6,1013.7,1013.5,0,41,NC,N,N
48,53,32,17,230,m,11000,m,m,10,990.6,1014,1013.5,0,42,NC,N,N
47,55,32,20,220,26,8500,12000,m,10,990.2,1013.4,1013.2,0,40,NC,N,N
46,60,33,15,220,22,8500,10000,m,10,990.2,1013.6,1013.2,0,40,NC,N,N
46,60,33,16,210,m,8500,m,m,10,990.6,1013.7,1013.5,0,39,NC,N,N
46,60,33,15,210,m,8000,m,m,10,990.9,1014.1,1013.9,0,40,NC,Y,N
46,60,33,11,210,m,7500,m,m,10,991.2,1014.5,1014.2,0,41,NC,Y,N
47,60,34,10,210,m,6000,8000,m,10,991.6,1015,1014.6,0,42,NC,Y,N
47,60,34,15,210,m,5500,7000,m,10,991.6,1014.8,1014.6,0,41,NC,Y,N
48,60,35,14,220,21,7500,m,m,10,991.9,1015.2,1014.9,0,42,NC,Y,N
48,60,35,13,200,m,8000,11000,20000,10,991.9,1015.2,1014.9,0,43,NC,Y,N
50,58,36,14,220,22,8000,11000,20000,10,991.6,1014.6,1014.6,0,NC,NC,Y,N
48,60,35,13,200,m,7500,11000,20000,10,991.2,1014.5,1014.2,0,43,NC,Y,N
47,65,36,13,210,m,7500,m,m,10,991.6,1014.6,1014.6,0,41,NC,Y,N
47,63,35,11,190,23,7500,m,m,10,991.2,1014.5,1014.2,0,42,NC,Y,N
47,58,33,15,190,21,M,m,m,10,991.2,1014.6,1014.2,0,41,NC,Y,N
47,58,33,11,200,m,M,m,m,10,991.6,1014.8,1014.6,0,42,NC,N,N
47,60,34,13,200,m,M,m,m,10,991.9,1015.1,1014.9,0,41,NC,N,N
47,65,36,11,190,m,M,m,m,10,991.9,1015.2,1014.9,0,42,NC,N,N
47,65,36,11,200,m,M,m,m,10,991.9,1015.4,1014.9,0,42,NC,N,N
47,68,37,10,190,m,M,m,m,10,991.9,1015.3,1014.9,0,42,NC,N,N
46,73,38,10,190,m,M,m,m,10,992.2,1015.6,1015.2,0,41,NC,N,N
47,70,38,10,200,m,M,m,m,10,991.9,1015.2,1014.9,0,42,NC,N,N
48,67,38,8,180,m,M,m,m,10,991.9,1015,1014.9,0,44,NC,N,N
41,73,33,8,150,m,M,m,m,10,991.6,1014.9,1014.6,0,36,NC,N,N
40,69,31,8,150,m,M,m,m,10,991.9,1015.2,1014.9,0,35,NC,N,N
40,69,31,9,160,m,M,m,m,10,992.2,1015.4,1015.2,0,34,NC,N,N
39,72,31,6,160,m,M,m,m,10,992.5,1015.8,1015.6,0,35,NC,N,N
42,70,33,7,150,m,1800,m,m,10,991.9,1015.3,1014.9,0,38,NC,N,N
43,73,35,9,150,m,2400,m,m,10,991.6,1015,1014.6,0,38,NC,Y,N
44,72,36,10,150,m,1600,m,m,10,990.9,1014.3,1013.9,0,39,NC,Y,N
45,76,38,13,140,m,1800,m,m,10,990.9,1015.4,1013.9,0,39,NC,Y,N
47,76,40,11,140,m,2200,m,m,9,990.2,1014.7,1013.2,0,42,NC,Y,N
50,74,42,13,150,20,2200,m,m,9,989.6,1013.9,1012.5,0,NC,NC,Y,N
52,74,44,10,160,22,1800,m,m,10,989.2,1013.6,1012.2,0,NC,NC,Y,N
55,71,46,21,170,M,2900,m,m,10,987.6,1011.7,1010.5,0,NC,NC,Y,N
56,69,46,17,170,M,1900,m,m,10,986.6,1010.8,1009.5,0,NC,NC,Y,N
56,71,47,15,170,M,1700,m,m,10,985.9,1010.1,1008.8,0,NC,NC,Y,N
56,71,47,11,160,23,1700,m,m,10,985.9,1010.1,1008.8,0,NC,NC,Y,N
56,74,48,14,150,20,1900,m,m,10,985.2,1009.5,1008.1,0,NC,NC,Y,N
56,77,49,14,160,m,2000,2400,m,10,984.2,1008.4,1007.1,0,NC,NC,N,N
55,79,49,14,150,24,2300,3100,m,9,983.9,1008.1,1006.8,0.01,NC,NC,N,N
55,79,49,23,140,30,2400,2900,8500,9,982.2,1006.4,1005.1,0.01,NC,NC,N,N
55,83,50,17,160,29,2400,7500,9500,10,981.6,1005.7,1004.4,0.02,NC,NC,N,N
54,89,51,18,150,26,2100,5000,7500,4,980.9,1005,1003.7,0.23,NC,NC,N,N
55,86,51,16,160,26,1000,1900,2500,8,980.3,1004.3,1003,0.11,NC,NC,N,N
57,87,54,28,180,M,1600,m,m,9,m,M,m,0.01,NC,NC,N,N
57,86,53,23,180,M,1700,m,m,7,m,M,m,0.03,NC,NC,N,N
58,83,53,18,190,30,1700,m,m,9,m,M,m,0,NC,NC,N,N
58,86,54,17,190,28,1700,2500,2900,9,m,M,m,0,NC,NC,N,N
58,86,54,17,190,25,2300,m,m,10,m,M,m,0,NC,NC,N,N
58,86,54,16,200,29,2000,m,m,10,m,M,m,0,NC,NC,N,N
60,83,55,17,190,25,2400,3100,m,10,977.9,1001.8,1000.7,0,NC,NC,N,N
62,80,56,17,180,26,2100,2500,m,10,976.9,1000.6,999.7,0,NC,NC,Y,N
62,83,57,15,180,23,1300,2500,m,10,976.6,1000.3,999.3,0.01,NC,NC,Y,N
63,82,57,17,170,23,1100,m,m,2,974.9,M,997.6,m,NC,NC,Y,N
63,82,57,21,180,30,1100,1600,m,10,973.9,M,996.6,m,NC,NC,Y,N
64,80,58,25,180,M,1300,m,m,10,973.3,996.9,995.9,0,NC,NC,Y,N
64,80,58,30,170,M,1500,m,m,10,972.3,995.9,994.9,0,NC,NC,Y,N
66,75,58,26,170,M,1700,m,m,10,968.9,992.5,991.5,0,NC,NC,Y,N
66,75,58,25,170,M,1900,m,m,10,967,990.4,989.5,0,NC,NC,Y,N
54,87,50,21,210,30,1900,2600,m,3,968.3,M,990.9,m,NC,NC,Y,N
54,89,51,23,190,34,5000,m,m,3,967.6,991.2,990.2,0.26,NC,NC,Y,N
56,80,50,7,220,m,8000,10000,m,10,967.6,991.2,990.2,0.06,NC,NC,Y,N
53,82,48,13,190,24,12000,m,m,10,965.6,989.2,988.1,0,NC,NC,N,N
52,81,46,34,260,54,1300,1900,m,10,966,M,988.5,m,NC,NC,N,N
47,83,42,31,270,51,1000,1900,2700,3,968.9,991.5,991.5,0.08,38,NC,N,N
46,82,41,24,270,39,1400,2500,m,7,971.6,994.4,994.2,0.14,38,NC,N,N
46,81,41,25,280,41,1600,m,m,10,973.6,M,996.3,m,37,NC,N,N
46,70,37,28,280,41,2500,3200,m,10,975.9,998.6,998.6,0,37,NC,N,N
46,67,36,25,280,46,3200,m,m,10,977.6,1000.4,1000.3,0,37,NC,N,N
46,62,34,26,270,38,3200,m,m,10,978.9,1001.7,1001.7,0,37,NC,N,N
45,62,33,17,280,32,2900,3400,m,10,979.6,1002.4,1002.4,0,38,NC,N,N
45,62,33,20,260,30,2700,m,m,10,980.3,1003.2,1003,0,37,NC,N,N
43,62,31,28,270,39,2900,3500,m,10,980.9,1003.9,1003.7,0,33,NC,N,N
43,62,31,22,270,32,3200,m,m,10,981.6,1004.4,1004.4,0,34,NC,N,N
42,64,31,17,290,M,2500,m,m,10,982.6,1005.5,1005.4,0,34,NC,N,N
40,62,28,20,300,34,2300,3000,m,10,983.2,1006.4,1006.1,0,30,NC,Y,N
39,59,26,21,300,39,2800,3500,m,10,984.2,1007.6,1007.1,0,29,NC,Y,N
39,61,27,18,300,30,2700,3400,m,10,985.2,1008.5,1008.1,0,30,NC,Y,N
38,61,26,18,300,M,2700,m,m,10,986.2,1009.6,1009.1,0,28,NC,Y,N
38,59,25,21,300,M,2900,m,m,10,987.6,1011,1010.5,0,28,NC,Y,N
37,59,24,22,300,37,3100,m,m,10,988.9,1012.2,1011.9,0,26,NC,Y,N
37,61,25,23,290,31,2900,m,m,9,989.6,1012.8,1012.5,0,26,NC,Y,N
36,59,23,21,300,32,3000,m,m,9,990.6,M,1013.5,0,25,NC,Y,N
35,58,22,18,290,M,3400,m,m,9,991.6,1015.2,1014.6,0,24,NC,Y,N
36,54,21,21,300,M,3400,m,m,10,992.5,1016.3,1015.6,0,25,NC,Y,N
36,56,22,13,310,M,3400,m,m,10,993.9,1017.4,1016.9,0,27,NC,Y,N
36,56,22,16,290,M,3600,m,m,10,994.5,1018.2,1017.6,0,26,NC,N,N
37,53,22,11,300,M,3400,m,m,10,995.5,1019.1,1018.6,0,29,NC,N,N
37,53,22,10,310,25,3600,m,m,10,996.2,1019.8,1019.3,0,30,NC,N,N
37,53,22,13,310,22,3800,m,m,10,996.9,1020.7,1020,0,29,NC,N,N
37,53,22,13,310,m,3600,m,m,10,997.5,1021.3,1020.7,0,29,NC,N,N
36,58,23,14,330,20,3400,m,m,10,998.2,1022,1021.3,0,27,NC,N,N
36,58,23,10,340,m,3200,m,m,10,998.9,1022.6,1022,0,29,NC,N,N
36,56,22,11,340,m,3400,m,m,10,999.5,1023.3,1022.7,0,28,NC,N,N
36,56,22,9,320,m,3200,m,m,10,999.5,1023.4,1022.7,0,29,NC,N,N
35,58,22,8,340,m,3000,m,m,10,1000.5,1024.5,1023.7,0,28,NC,N,N
35,56,21,9,330,m,3200,m,m,10,1001.2,1025.1,1024.4,0,28,NC,N,N
35,58,22,7,330,m,3200,m,m,10,1001.9,1025.9,1025.1,0,29,NC,N,N
34,58,21,8,350,m,3400,m,m,10,1002.5,1026.3,1025.7,0,27,NC,N,N
33,60,21,5,360,m,3200,m,m,10,1002.9,1026.9,1026.1,0,28,NC,Y,N
32,63,21,5,360,m,3300,m,m,10,1003.9,1027.6,1027.1,0,27,NC,Y,N
36,58,23,0,0,m,3300,m,m,10,1004.2,1027.9,1027.4,0,NC,NC,Y,N
38,50,21,5,360,m,3100,m,m,10,1004.5,1028.5,1027.8,0,34,NC,Y,N
39,49,22,0,0,m,3100,m,m,10,1005.2,1028.9,1028.4,0,NC,NC,Y,N
40,48,22,0,0,m,3100,22000,m,10,1004.8,1028.7,1028.1,0,NC,NC,Y,N
42,46,23,0,0,m,3100,22000,m,10,1004.2,1028.1,1027.4,0,NC,NC,Y,N
42,48,24,5,290,m,3100,22000,m,10,1003.5,1027.4,1026.8,0,39,NC,Y,N
42,50,25,5,240,m,21000,m,m,10,1003.2,1027.1,1026.4,0,39,NC,Y,N
41,52,25,5,260,m,25000,m,m,10,1003.2,1027.1,1026.4,0,38,NC,Y,N
39,56,25,0,0,m,25000,m,m,10,1003.9,1027.5,1027.1,0,NC,NC,Y,N
37,61,25,0,0,m,25000,m,m,10,1004.2,1028,1027.4,0,NC,NC,N,N
33,71,25,0,0,m,22000,m,m,10,1004.2,1028.4,1027.4,0,NC,NC,N,N
31,75,24,3,110,m,20000,m,m,10,1004.2,1028.3,1027.4,0,NC,NC,N,N
30,74,23,6,100,m,20000,m,m,10,1003.9,1027.9,1027.1,0,24,NC,N,N
31,68,22,8,130,m,M,m,m,10,1003.9,1027.6,1027.1,0,24,NC,N,N
30,71,22,7,120,m,M,m,m,10,1003.9,1027.9,1027.1,0,23,NC,N,N
30,68,21,7,120,m,M,m,m,10,1004.2,1028.1,1027.4,0,23,NC,N,N
29,71,21,8,140,m,M,m,m,10,1004.2,1028,1027.4,0,21,NC,N,N
31,68,22,7,140,m,M,m,m,10,1004.2,1028.1,1027.4,0,24,NC,N,N
32,69,23,9,140,m,M,m,m,10,1004.5,1028.3,1027.8,0,24,NC,N,N
31,72,23,9,130,m,M,m,m,10,1004.2,1028.2,1027.4,0,23,NC,N,N
31,72,23,8,130,m,M,m,m,10,1004.2,1028.1,1027.4,0,24,NC,N,N
30,74,23,8,130,m,20000,m,m,10,1004.2,1028.2,1027.4,0,22,NC,N,N
30,71,22,9,130,m,20000,m,m,10,1003.9,1028,1027.1,0,22,NC,Y,N
31,68,22,10,130,m,20000,m,m,10,1003.9,1027.9,1027.1,0,22,NC,Y,N
34,66,24,13,140,m,25000,m,m,10,1003.5,1027.5,1026.8,0,25,NC,Y,N
37,59,24,16,150,m,25000,m,m,10,1003.2,1027.1,1026.4,0,28,NC,Y,N
39,54,24,13,140,21,25000,m,m,10,1003.2,1027.2,1026.4,0,31,NC,Y,N
41,50,24,11,140,m,25000,m,m,10,1002.9,1026.8,1026.1,0,34,NC,Y,N
42,46,23,13,160,m,25000,m,m,10,1001.9,1025.9,1025.1,0,35,NC,Y,N
43,44,23,13,150,m,25000,m,m,10,1000.9,1024.7,1024,0,36,NC,Y,N
43,42,22,11,140,m,25000,m,m,10,999.9,1023.5,1023,0,37,NC,Y,N
44,43,23,9,100,m,6500,16000,25000,10,999.2,1022.9,1022.4,0,39,NC,Y,N
42,44,22,7,110,m,9500,18000,25000,10,998.5,1022.3,1021.7,0,38,NC,Y,N
40,48,22,6,120,m,9500,17000,25000,10,998.9,1022.8,1022,0,36,NC,N,N
40,50,23,6,130,m,12000,16000,m,10,999.2,1023,1022.4,0,36,NC,N,N
42,48,24,13,150,m,11000,16000,m,10,999.2,1022.8,1022.4,0,35,NC,N,N
41,54,26,9,150,m,12000,14000,m,10,998.5,1022.3,1021.7,0,35,NC,N,N
41,57,27,9,140,m,8500,m,m,10,998.5,1022.3,1021.7,0,35,NC,N,N
41,59,28,7,170,m,7500,9500,11000,10,999.5,1023.2,1022.7,0,36,NC,N,N
39,75,32,5,160,m,2100,m,m,8,999.5,1023.4,1022.7,0.04,35,NC,N,N
39,85,35,6,140,m,2100,2800,4400,7,999.5,1023.3,1022.7,0.01,35,NC,N,N
39,85,35,8,140,m,1600,2400,m,3,999.5,1023.1,1022.7,0.01,33,NC,N,N
39,88,36,6,120,m,5500,7000,m,5,998.9,1022.6,1022,0.01,35,NC,N,N
39,88,36,6,110,m,7000,m,m,5,998.5,1022.3,1021.7,0,35,NC,N,N
39,85,35,3,60,m,5500,m,m,6,998.5,1022.1,1021.7,0,NC,NC,N,N
39,88,36,7,120,m,5000,m,m,6,998.2,1021.8,1021.3,0,34,NC,N,N
40,85,36,6,130,m,5500,m,m,6,997.9,1021.6,1021,0,36,NC,Y,N
40,85,36,5,130,m,5000,m,m,7,998.2,1021.8,1021.3,0,36,NC,Y,N
42,78,36,6,150,m,4800,m,m,8,998.5,1022.1,1021.7,0,38,NC,Y,N
43,76,36,6,160,m,5000,m,m,10,998.5,1022.3,1021.7,0,39,NC,Y,N
45,73,37,6,160,m,5000,m,m,10,998.9,1022.5,1022,0,42,NC,Y,N
47,73,39,6,160,m,5000,m,m,10,998.5,1022.1,1021.7,0,44,NC,Y,N
49,74,41,11,210,m,2100,2600,5000,10,998.5,1022,1021.7,0,NC,NC,Y,N
49,74,41,9,220,m,1600,5000,m,10,998.2,1021.7,1021.3,0,NC,NC,Y,N
49,77,42,10,220,m,1600,5000,m,10,998.2,1021.7,1021.3,0,NC,NC,Y,N
49,77,42,8,210,m,1600,5000,m,10,998.2,1021.5,1021.3,0,NC,NC,Y,N
48,79,42,6,200,m,1600,4800,m,10,997.9,1021.2,1021,0,45,NC,Y,N
49,77,42,6,190,m,4800,m,m,10,998.2,1021.6,1021.3,0,NC,NC,N,N
48,82,43,6,220,m,4300,m,m,8,998.5,1021.9,1021.7,0,45,NC,N,N
48,87,45,5,230,m,700,1100,1800,5,998.5,M,1021.7,m,46,NC,N,N
46,89,43,5,320,m,700,1200,3400,5,998.5,1022,1021.7,0.03,44,NC,N,N
46,87,43,0,0,m,1200,2900,4700,4,998.5,M,1021.7,m,NC,NC,N,N
45,89,42,0,0,m,1400,2500,4900,3,998.9,1022.2,1022,0,NC,NC,N,N
45,93,43,0,0,m,1200,7500,11000,2,998.2,M,1021.3,m,NC,NC,N,N
44,88,41,6,350,m,600,1400,2600,4,998.9,1022.2,1022,0,41,NC,N,N
M,M,M,M,M,m,M,m,m,M,998.5,M,1021.7,m,M,M,N,N
M,M,M,M,M,m,M,m,m,M,998.5,M,1021.7,m,M,M,N,N
M,M,M,M,M,m,M,m,m,M,999.2,M,1022.4,m,M,M,N,N
,,,,,,,,,,,,,,,,N,N
41,86,37,18,340,23,700,m,m,9,999.5,M,1022.7,m,32,NC,N,N
40,85,36,15,340,28,900,1400,m,10,999.9,1023.4,1023,m,32,NC,N,N
39,79,33,15,350,22,1600,2100,m,10,1000.5,1024.2,1023.7,0,31,NC,Y,N
38,75,31,14,350,22,1600,2900,m,10,1001.5,1025.1,1024.7,0,30,NC,Y,N
37,75,30,14,340,21,4100,4800,m,10,1002.5,1026.1,1025.7,0,28,NC,Y,N
37,78,31,11,330,m,1600,5000,8500,9,1003.5,1027.2,1026.8,0,29,NC,Y,N
37,75,30,13,340,m,1800,4600,m,9,1004.5,1028.3,1027.8,0,29,NC,Y,N
37,69,28,17,350,m,2100,4800,m,9,1004.8,M,1028.1,m,27,NC,Y,N
37,66,27,20,360,26,2300,2700,11000,10,1004.5,1028.3,1027.8,0,27,NC,Y,N
39,61,27,18,350,25,2400,2800,3400,10,1004.2,M,1027.4,0,30,NC,Y,N
36,72,28,18,330,26,2300,2900,3700,7,1004.8,M,1028.1,0,26,NC,Y,N
36,69,27,10,330,m,2100,2900,m,10,1005.8,M,1029.1,0,29,NC,Y,N
36,66,26,10,330,m,1800,2900,20000,10,1006.5,M,1029.8,0,29,NC,Y,N
33,66,23,10,350,m,2700,20000,m,10,1006.8,1030.7,1030.1,0,25,NC,N,N
31,72,23,6,340,m,2400,20000,m,10,1006.5,1030.6,1029.8,0,25,NC,N,N
31,72,23,0,0,m,2300,m,m,10,1006.2,1030,1029.5,0,NC,NC,N,N
26,84,22,0,0,m,2500,m,m,10,1005.8,1030,1029.1,0,NC,NC,N,N
33,69,24,7,280,m,2700,m,m,10,1005.2,1029.1,1028.4,0,27,NC,N,N
34,66,24,15,280,21,2400,m,m,10,1005.2,1029,1028.4,0,24,NC,N,N
35,51,19,13,280,20,M,m,m,10,1004.5,1028.5,1027.8,0,26,NC,N,N
34,45,15,17,290,23,M,m,m,10,1004.5,1028.3,1027.8,0,23,NC,N,N
33,44,14,14,290,23,M,m,m,10,1003.9,1027.7,1027.1,0,23,NC,N,N
33,47,15,13,290,22,M,m,m,10,1003.9,1027.6,1027.1,0,24,NC,N,N
33,47,15,15,280,23,4600,8000,12000,10,1003.5,1027.4,1026.8,0,23,NC,N,N
32,51,16,13,310,23,4100,5000,m,10,1003.5,1027.3,1026.8,0,22,NC,N,N
32,49,15,13,320,22,4300,5500,m,10,1003.5,1027.6,1026.8,0,22,NC,N,N
29,63,18,14,350,m,3100,5000,6000,9,1004.5,1028.6,1027.8,0,18,NC,Y,N
27,50,11,23,350,34,6000,m,m,10,1005.5,1029.6,1028.8,0,13,NC,Y,N
26,57,13,20,340,33,5000,6000,m,10,1006.2,1030.5,1029.5,0,12,NC,Y,N
25,68,16,14,350,26,3000,4000,6500,2,1007.2,1031.3,1030.5,0,13,NC,Y,N
23,73,16,18,350,22,1600,2300,4600,0,1007.8,M,1031.2,0,9,NC,Y,Y
26,57,13,21,350,31,2900,6000,m,9,1008.2,1032.4,1031.5,0,12,NC,Y,Y
23,64,13,21,350,32,2800,6000,m,9,1008.8,1033,1032.2,0,8,NC,Y,Y
24,54,10,18,330,30,2600,4700,6000,10,1009.2,1033.3,1032.5,0,10,NC,Y,N
23,62,12,20,350,28,1500,4500,5500,4,1009.5,1033.6,1032.8,0,8,NC,Y,N
21,67,12,14,340,28,1500,3400,6000,4,1010.2,1034.5,1033.5,0.01,8,NC,Y,N
21,64,11,16,340,22,2000,4800,6000,9,1010.8,1035.2,1034.2,0,7,NC,Y,N
21,64,11,18,340,24,4300,6000,m,7,1011.2,1035.6,1034.5,0,6,NC,N,N
21,67,12,16,340,21,3800,6500,m,7,1011.5,1036,1034.9,0,7,NC,N,N
21,62,10,16,360,m,4600,6500,m,10,1012.2,1036.7,1035.6,0,7,NC,N,N
20,70,12,11,360,m,2600,4200,7000,9,1012.2,1036.4,1035.6,0,8,NC,N,N
20,67,11,14,10,21,2800,4500,7000,9,1012.2,1036.7,1035.6,0,7,NC,N,N
19,73,12,14,350,23,3200,6000,m,7,1012.2,M,1035.6,0,5,NC,N,N
19,70,11,7,10,m,5500,m,m,10,1012.5,1036.8,1035.9,0,10,NC,N,N
19,73,12,6,360,m,1800,m,m,2,1012.5,1037,1035.9,0,11,NC,N,N
