brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
RAM,1500 Laramie,2019,"107,714 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Diamond Black,Black,None reported,Yes,"$34,918"
Audi,Q5 2.0T Premium Plus,2013,"111,773 mi.",Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Brown,Beige,None reported,Yes,"$17,000"
Cadillac,XTS Luxury,2019,"54,002 mi.",Gasoline,304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$22,500"
Volkswagen,Jetta 1.4T SE,2016,"87,000 mi.",Gasoline,150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,At least 1 accident or damage reported,Yes,"$13,000"
Ford,Focus RS Base,2016,"49,700 mi.",Gasoline,350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,Yes,"$31,700"
Mercedes-Benz,AMG C 63 S,2017,"34,500 mi.",Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,"$64,600"
Ford,Bronco Sport Big Bend,2021,"31,729 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Maroon,Medium Dark Slate,At least 1 accident or damage reported,Yes,"$29,614"
Jeep,Gladiator Overland,2021,"7,388 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Firecracker Red Clearcoat,Black,None reported,Yes,"$43,663"
BMW,330e iPerformance,2017,"41,550 mi.",Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,"$20,995"
Mercedes-Benz,GLC 300 Base 4MATIC,2018,"44,486 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,Black,None reported,,"$25,625"
Acura,MDX 3.7L Advance,2013,"20,750 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,"$33,000"
Genesis,G70 3.3T,2022,"12,000 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,None reported,Yes,"$41,000"
Lexus,LX 570 Three-Row,2021,"14,206 mi.",Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$98,000"
Jeep,Grand Cherokee L Limited,2022,"31,700 mi.",Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,"$43,500"
Hyundai,IONIQ Plug-In Hybrid SEL,2022,"13,044 mi.",Plug-In Hybrid,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,"$24,999"
Kia,Sportage LX,2009,"100,730 mi.",Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Gold,None reported,Yes,"$6,975"
BMW,X5 PHEV xDrive45e,2023,"5,338 mi.",Plug-In Hybrid,389.0HP 3.0L Straight 6 Cylinder Engine Plug-In Electric/Gas,8-Speed A/T,Blue,White,None reported,Yes,"$76,500"
Ford,Expedition EL XLT,2014,"85,149 mi.",Gasoline,5.4 Liter,Automatic,Oxford White,Camel Leather,None reported,,"$23,598"
BMW,X6 M Base,2018,"48,291 mi.",Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Brown,None reported,Yes,"$67,250"
Volkswagen,Eurovan MV,2001,"111,887 mi.",Gasoline,140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,Yes,"$14,000"
Rolls-Royce,Ghost Base,2010,"79,000 mi.",Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,"$69,000"
Lincoln,Navigator Reserve,2016,"125,000 mi.",Gasoline,380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,"$26,500"
Mercedes-Benz,GLA 250 Base 4MATIC,2022,"13,777 mi.",Gasoline,221.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$39,777"
RAM,1500 Big Horn,2022,"14,920 mi.",Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Black,None reported,Yes,"$41,741"
Jeep,Grand Cherokee L Summit,2022,"14,627 mi.",Gasoline,3.6L V6 24V MPFI DOHC,Automatic,Diamond Black,Tupelo,None reported,,"$56,740"
Volvo,S80 3.2,2010,"90,050 mi.",Gasoline,235.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Brown,Beige,None reported,Yes,"$5,800"
Subaru,BRZ Premium,2014,"45,000 mi.",Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,"$25,000"
Chevrolet,Corvette Base,1998,"7,666 mi.",Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,None reported,Yes,"$39,500"
Hummer,H2 SUT,2006,"89,900 mi.",Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Beige,None reported,Yes,"$29,994"
Audi,RS 7 4.0T,2021,"14,724 mi.",Hybrid,4.0 Liter TFSI,Automatic,Glacier White,Black/Red,None reported,,"$101,998"
Ford,Edge Sport,2011,"132,000 mi.",Gasoline,305.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$10,999"
GMC,Terrain SLT,2010,"32,652 mi.",Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Brown,None reported,Yes,"$6,500"
Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2018,"36,632 mi.",Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Blue,,,"$72,567"
Jeep,Grand Cherokee WK Laredo X,2022,"11,164 mi.",Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,"$37,500"
BMW,M4 Base,2020,"22,655 mi.",Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,Yes,"$63,999"
Mercedes-Benz,AMG GT 63 S 4-Door,2019,"9,500 mi.",Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,"$135,000"
Chevrolet,Camaro 1LT,2021,"10,300 mi.",Gasoline,335.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,M/T,Black,Black,None reported,Yes,"$29,900"
BMW,X6 M Base,2018,"48,000 mi.",Gasoline,567.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,Yes,"$54,000"
Mercedes-Benz,CLK-Class 550,2007,"138,000 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,"$10,000"
RAM,1500 TRX,2022,"24,058 mi.",Gasoline,"HEMI 6.2L V-8 intercooled supercharger, premium unleaded, engine","Automatic, 8-Spd",Flame Red Clearcoat,BLACK,None reported,,"$81,900"
Audi,RS 7 4.0T Prestige,2016,"31,500 mi.",Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,"$67,000"
Porsche,Macan S,2020,"19,701 mi.",Gasoline,3.0 Liter,Automatic,–,–,None reported,,"$55,998"
Genesis,GV70 3.5T Sport,2022,"10,200 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$50,500"
Aston,Martin V8 Vantage Base,2008,"62,378 mi.",Gasoline,380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,M/T,Red,Beige,At least 1 accident or damage reported,Yes,"$33,995"
Nissan,350Z Touring,2006,"84,200 mi.",Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,"$10,200"
Toyota,Sequoia SR5,2013,"138,700 mi.",E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,"$18,800"
Chevrolet,Tahoe Premier,2021,"41,050 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Gray,None reported,Yes,"$62,900"
Jeep,Compass Limited,2020,"39,192 mi.",Gasoline,2.4L I4 16V MPFI SOHC,9-Speed Automatic,White Clearcoat,Black,None reported,,"$24,590"
BMW,430 430i,2022,"7,758 mi.",Gasoline,2.0 Liter Turbo,Automatic,Black,Black,None reported,,"$47,998"
Ford,Bronco Sport Outer Banks,2021,"31,654 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Rapid Red Metallic Tinted Clearcoat,Navy Pier,None reported,,"$33,410"
Mercedes-Benz,AMG C 63 Base,2017,"63,000 mi.",Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,"$42,000"
Volvo,S40 T5,2005,"257,700 mi.",Gasoline,218.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,Yes,"$3,550"
Mercedes-Benz,GLE 350 Base 4MATIC,2017,"57,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$29,500"
Chevrolet,Silverado 1500 1LT,2017,"89,000 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,None reported,Yes,"$29,999"
Chevrolet,Tahoe LTZ,2015,"134,500 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,"$28,000"
Acura,MDX Technology,2022,"15,895 mi.",Gasoline,3.5L V6 24V GDI SOHC,10-Speed Automatic,Majestic Black Pearl,Parchment,None reported,,"$47,950"
Bentley,Bentayga Speed,2020,"15,109 mi.",Gasoline,6.0L W12 48V PDI DOHC Twin Turbo,8-Speed Automatic,Ice,Beluga Hide,,,"$162,950"
Rolls-Royce,Cullinan,2022,398 mi.,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Silver,Charles Blue,None reported,Yes,"$695,000"
Genesis,GV70 2.5T,2022,"20,319 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$44,249"
Pontiac,Firebird Base,1999,"158,000 mi.",Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,"$2,500"
Lexus,GX 460 Base,2021,"40,906 mi.",Gasoline,4.6 Liter,Automatic,Black,Black,None reported,,"$51,998"
BMW,ALPINA B7 ALPINA B7 xDrive,2020,"33,749 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Blue,Red,None reported,,"$85,998"
BMW,M4 Competition xDrive,2023,"1,120 mi.",Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,White,None reported,Yes,"$92,900"
Jeep,Grand Cherokee L Limited,2021,"26,088 mi.",Gasoline,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Silver Zynith,Global Black,None reported,,"$38,383"
Kia,Forte GT-Line,2022,"14,950 mi.",Gasoline,147.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$24,000"
Kia,Forte LX,2018,"47,466 mi.",Gasoline,"2L I-4 DOHC, D-CVVT variable valve control, engine with 147HP",Automatic,Silky Silver,Black,None reported,,"$14,699"
BMW,X6 M Base,2022,"10,376 mi.",Gasoline,4.4L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Ametrin Metallic,Black,None reported,,"$98,900"
RAM,ProMaster 3500 High Roof,2021,"18,500 mi.",Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,"$41,950"
Volkswagen,Atlas Cross Sport 3.6L V6 SEL Premium,2021,"24,596 mi.",Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Deep Black Pearl Effect,Titan Black / Quarzit,None reported,,"$38,322"
Hyundai,Santa Fe SEL,2021,"2,905 mi.",Gasoline,2.5L I4 16V PDI DOHC,8-Speed Automatic,Shimmering Silver,Black,None reported,,"$27,599"
Jaguar,XF 3.0 Portfolio,2015,"71,290 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,At least 1 accident or damage reported,Yes,"$21,000"
Audi,A7 55 Premium Plus,2022,"15,000 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Gray,Black,None reported,Yes,"$63,000"
INFINITI,QX30 Premium,2017,"37,900 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,Yes,"$22,000"
Mercedes-Benz,AMG G 63 4MATIC,2022,"2,000 mi.",Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,,,"$244,896"
Mercedes-Benz,AMG C 43 AMG C 43 4MATIC,2019,"32,500 mi.",Gasoline,385.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,Yes,"$43,500"
Mitsubishi,Lancer Evolution Base,2003,"61,491 mi.",Gasoline,271.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,"$28,000"
Jeep,Wrangler Unlimited Sport,2013,"77,634 mi.",Gasoline,3.6L V6 24V MPFI DOHC,5-Speed Automatic,Gecko Pearlcoat,Black,None reported,,"$24,590"
Audi,A3 2.0 TDI Premium Plus,2015,"83,000 mi.",Diesel,150.0HP 2.0L 4 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,"$18,999"
Volkswagen,Jetta GLX VR6,2002,"121,800 mi.",Gasoline,174.0HP 2.8L V6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,Black,None reported,Yes,"$4,300"
BMW,ALPINA B7 ALPINA B7 xDrive,2020,"65,852 mi.",Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Mocha,None reported,,"$68,998"
Bentley,Bentayga Azure First Edition,2023,"1,335 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Onyx,Portland,None reported,Yes,"$272,950"
Mercedes-Benz,CLA-Class CLA 250,2014,"83,315 mi.",Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,Yes,"$15,000"
BMW,i8 Base,2019,"18,421 mi.",Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,6-Speed A/T,Black,Black,,,"$85,000"
Lexus,CT 200h Premium,2015,"101,000 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$16,500"
Toyota,Tundra SR5,2022,"29,322 mi.",Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,,"$44,999"
Mercedes-Benz,SLC 300 Base,2019,"23,900 mi.",Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,Yes,"$35,999"
Mercedes-Benz,AMG C AMG C 63 S,2016,"40,515 mi.",Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic,Black,Black,At least 1 accident or damage reported,,"$47,999"
Ford,F-150 XLT,2020,"67,516 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Medium Light Camel,None reported,Yes,"$36,994"
Mazda,CX-9 Grand Touring,2010,"155,000 mi.",Gasoline,273.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,"$8,300"
Honda,Ridgeline RTL-E,2019,"26,998 mi.",Gasoline,3.5L V6 24V GDI SOHC,6-Speed Automatic,Black,Black,None reported,,"$35,557"
Bentley,Bentayga Onyx Edition,2018,"18,500 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,None reported,Yes,"$115,000"
MINI,Cooper S Clubman Base,2009,"137,600 mi.",Gasoline,172.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gold,Black,None reported,Yes,"$6,880"
Nissan,Murano SL,2005,"125,500 mi.",Gasoline,245.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Beige,None reported,Yes,"$3,950"
Bentley,Bentayga V8,2019,"22,039 mi.",Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,"$113,990"
Nissan,Juke SV,2011,"137,483 mi.",Gasoline,188.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Gray,None reported,Yes,"$3,200"
Ford,Expedition Max Limited,2019,"67,500 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,Yes,"$40,500"
Ford,Expedition Max King Ranch,2020,"52,000 mi.",Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Brown,At least 1 accident or damage reported,Yes,"$53,722"
Lamborghini,Murcielago Base,2006,"10,000 mi.",Gasoline,571.0HP 6.2L 12 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,"$259,000"
Chevrolet,Suburban LT,2017,"195,361 mi.",Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Transmission Overdrive Switch,Black,Black,At least 1 accident or damage reported,Yes,"$26,000"
Bentley,Bentayga Onyx Edition,2018,"32,500 mi.",Gasoline,600.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$103,000"
BMW,M760 i xDrive,2019,"14,806 mi.",Gasoline,601.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,"$81,330"
Genesis,GV70 2.5T,2022,"11,000 mi.",Gasoline,300.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,"$48,950"
Chevrolet,Tahoe LT,2011,"92,530 mi.",E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,Yes,"$18,500"
Dodge,Durango GT,2017,"34,845 mi.",Gasoline,295.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,At least 1 accident or damage reported,Yes,"$30,000"
Porsche,718 Cayman GTS,2018,"16,280 mi.",Gasoline,365.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,"$85,500"
Porsche,Cayman Base,2011,"77,000 mi.",Gasoline,265.0HP 2.9L Flat 6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,None reported,Yes,"$32,000"
Porsche,Panamera Turbo,2010,"63,000 mi.",Gasoline,500.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,"$38,500"
Lexus,ES 350 Base,2016,"39,700 mi.",Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$25,500"
Kia,Optima Hybrid LX,2013,"103,111 mi.",Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Beige,At least 1 accident or damage reported,Yes,"$9,200"
Land,Rover Range Rover Velar R-Dynamic SE,2019,"75,897 mi.",Gasoline,2.0 Liter,Automatic,Black,Black,None reported,,"$35,998"
Jaguar,XF S,2017,"55,000 mi.",Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,"$34,000"
Lexus,GX 470 Base,2005,"114,000 mi.",Gasoline,270.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,"$13,450"
Mercedes-Benz,GL-Class GL 550,2011,"80,124 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,"$17,500"
BMW,X6 M Base,2023,"7,000 mi.",Gasoline,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,"$144,900"
RAM,1500 Longhorn,2023,"4,285 mi.",Gasoline,5.7L V8 16V MPFI OHV,Automatic,Delmonico Red Pearlcoat,Black / Saddle,None reported,Yes,"$65,688"
Lamborghini,Huracan LP580-2S,2019,"17,175 mi.",Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Rosso Mars Metallic,Nero Ade,None reported,,"$234,900"
Toyota,Highlander Hybrid Limited Platinum,2017,"34,049 mi.",Hybrid,3.5L V6 24V PDI DOHC Hybrid,Automatic CVT,Shoreline Blue Pearl,Ash,None reported,,"$37,999"
Audi,e-tron Prestige,2019,"16,000 mi.",,355.0HP Electric Motor Electric Fuel System,A/T,White,Beige,At least 1 accident or damage reported,Yes,"$39,990"
GMC,Suburban 2500,1996,"95,000 mi.",Gasoline,290.0HP 7.4L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Gray,None reported,Yes,"$25,000"
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,"59,355 mi.",Gasoline,V8,Automatic,Santorini Black,Ebony / Pimento,None reported,Yes,"$72,995"
Chevrolet,Bolt EUV Premier,2022,"31,000 mi.",,200.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,White,None reported,Yes,"$36,000"
BMW,M240 i,2019,"19,300 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,None reported,Yes,"$36,000"
Cadillac,Escalade EXT Base,2009,"155,000 mi.",E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,"$16,900"
Scion,tC Release Series 6.0,2010,"120,010 mi.",Gasoline,161.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,"$6,500"
Kia,Optima EX,2012,"152,520 mi.",Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,Yes,"$10,900"
Honda,Civic EX,1993,"58,981 mi.",–,–,A/T,White,Beige,None reported,Yes,"$9,599"
Maserati,Quattroporte Base,2005,"32,000 mi.",Gasoline,394.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,At least 1 accident or damage reported,Yes,"$2,954,083"
Porsche,Panamera Turbo,2015,"47,000 mi.",Gasoline,520.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,"$50,000"
Genesis,G70 2.0T,2023,"2,046 mi.",Gasoline,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Gray,None reported,Yes,"$43,499"
Chevrolet,Trailblazer LS,2021,"24,965 mi.",Gasoline,1.2L I3 12V GDI DOHC Turbo,Automatic CVT,Mosaic Black Metallic,Jet Black,At least 1 accident or damage reported,Yes,"$22,995"
Toyota,Camry LE,2005,"108,000 mi.",Gasoline,160.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed A/T,Beige,Gray,None reported,Yes,"$7,850"
Toyota,Sienna LE,2015,"76,000 mi.",Gasoline,266.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,Yes,"$18,300"
Porsche,911 Carrera S,2014,"30,000 mi.",Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,None reported,Yes,"$78,500"
Volvo,V60 T6 R-Design Platinum,2015,"59,271 mi.",Gasoline,325.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,Yes,"$29,900"
Lexus,LX 600 Premium,2023,"1,500 mi.",Gasoline,409.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,,,"$119,500"
BMW,330e iPerformance,2017,"52,500 mi.",Plug-In Hybrid,247.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Blue,Black,At least 1 accident or damage reported,Yes,"$24,950"
Tesla,Model Y Long Range,2020,"23,100 mi.",,425.0HP Electric Motor Electric Fuel System,A/T,Blue,White,None reported,Yes,"$36,495"
FIAT,124 Spider Abarth,2017,"45,000 mi.",Gasoline,164.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,"$22,500"
Dodge,Ram 1500 Quad Cab,2002,"179,000 mi.",Gasoline,245.0HP 5.9L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,"$6,500"
Toyota,Supra A91-MT Edition,2023,"1,500 mi.",Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Orange,None reported,Yes,"$84,900"
BMW,X7 xDrive40i,2022,"38,671 mi.",Hybrid,3.0 Liter Turbo,Automatic,Gray,Blk,None reported,,"$66,998"
Jeep,Wrangler Unlimited X,2007,"135,465 mi.",Gasoline,205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,"$15,750"
MINI,Countryman Cooper S ALL4,2014,"79,000 mi.",Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,"$17,000"
Nissan,Maxima SV,2012,"42,259 mi.",Gasoline,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,"$17,000"
Toyota,Camry Solara SLE V6,2006,"159,890 mi.",Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,"$6,500"
Maserati,Grecale Modena,2023,"2,200 mi.",Hybrid,325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,"$75,000"
Lexus,RX 450h Base,2022,"15,833 mi.",Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Beige,None reported,Yes,"$52,000"
