"STN
Code",Name of Monitoring Location,Type Water Body,State Name,"Temperature
?C (Min)","Temperature
?C (Max)",Dissolved Oxygen (mg/L) (Min),Dissolved Oxygen (mg/L) (Max),pH (Min),pH (Max),Conductivity (?mhos/cm) (Min),Conductivity (?mhos/cm) (Max),BOD (mg/L) (Min),BOD (mg/L) (Max),Nitrate N + Nitrite N(mg/L) (Min),Nitrate N + Nitrite N(mg/L) (Max),Fecal Coliform (MPN/100ml) (Min),Fecal Coliform (MPN/100ml) (Max),Total Coliform (MPN/100ml) (Min),Total Coliform (MPN/100ml) (Max)
2739,"MANSAR LAKE POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT
ESTABLISHMENTS NEAR NAG TEMPLE",LAKE,JAMMU & KASHMIR,14.0,24.0,5.9,7.9,7.5,8.1,192,239,1.0,1.0,0.02,0.02,-,-,-,-
2741,"SURINSAR LAKE POINT OF DISCHARGE OF WASTE WATER FROM DIFFERENT
ESTABLISHMENTS",LAKE,JAMMU & KASHMIR,15.0,26.0,6.1,6.5,8.1,8.6,170,240,3.4,16.4,0.04,0.04,-,-,-,-
4048,WULAR LAKE AT SADERKOTE,LAKE,"JAMMU &
KASHMIR",9.4,27.0,2.5,7.5,7.3,7.6,197,291,2.0,5.1,-,-,-,-,-,-
4049,WULAR LAKE AT ZALWAN,LAKE,"JAMMU &
KASHMIR",10.0,21.0,1.6,8.1,7.1,7.5,90,487,1.3,5.6,-,-,-,-,-,-
3266,"WULAR LAKE AT ENTRY PT OF ERIN
NALLAH",LAKE,"JAMMU &
KASHMIR",6.1,24.0,3.0,7.9,7.2,7.9,70,165,1.0,4.6,-,-,-,-,-,-
3263,WULAR LAKE AT NINGLI NALLAH,LAKE,"JAMMU &
KASHMIR",6.0,24.1,4.2,6.8,7.1,7.6,194,260,1.3,2.7,-,-,-,-,-,-
3264,WULAR LAKE AT WATLAB,LAKE,"JAMMU &
KASHMIR",8.6,26.0,4.4,8.5,7.1,8.0,161,249,1.5,2.7,-,-,-,-,-,-
3265,WULAR LAKE ATKANIBATH,LAKE,"JAMMU &
KASHMIR",8.5,28.4,2.4,8.7,7.1,7.7,188,268,1.8,5.7,-,-,-,-,-,-
2398,"DIMNA LAKE, DIMNA",LAKE,JHARKHAND,20.0,32.0,7.0,8.0,7.2,7.7,168,243,1.0,1.6,-,-,-,-,-,-
2394,TOP CHANCHI LAKE,LAKE,JHARKHAND,19.5,20.0,7.4,7.6,7.5,7.5,-,-,2.4,2.5,-,-,-,-,-,-
4491,"HOLY POND OF SHIV GANGA JARMUNDI,
DUMKA",POND,JHARKHAND,17.0,31.0,3.6,8.0,7.6,8.2,296,350,2.1,2.6,-,-,-,-,-,-
4740,"LOCO TALAB ) PUMPU TALAB), AT- BARMASIA, DHANBAD",POND,JHARKHAND,20.0,23.0,2.0,4.9,7.3,7.4,-,-,3.9,12.8,-,-,-,-,-,-
4741,"RANIBANDH TALAB NEAR ISM, DHANBAD",POND,JHARKHAND,19.0,23.0,4.0,4.2,7.3,7.4,-,-,4.6,4.8,-,-,-,-,-,-
2393,"SHIV GANGA POND, DEOGHAR",POND,JHARKHAND,17.0,32.0,6.2,7.6,7.6,8.2,310,332,1.5,2.6,-,-,-,-,-,-
4506,ABBIGERE LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,7.2,6.5,8.1,226,1399,3.0,42.0,0.70,3.00,4600,940000,35000,5400000
3612,AGARAM LAKE,LAKE,KARNATAKA,25.0,25.0,1.9,7.0,6.5,7.7,324,1268,4.0,22.0,1.50,5.70,3300,150000,24000,1600000
3628,AMRUTHAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,4.2,6.6,6.6,7.6,449,963,3.0,8.0,0.30,2.60,2300,1100000,24000,3500000
4096,"ANDHRAHALLI LAKE, ANDHRAHALLI, BENGALURU",LAKE,KARNATAKA,25.0,25.0,0.3,6.2,6.3,7.2,358,1637,4.0,29.0,0.30,2.20,3400,700000,24000,5400000
3615,ARAKERE LAKE,LAKE,KARNATAKA,25.0,25.0,4.6,6.8,6.8,7.9,706,985,3.7,7.0,1.40,3.29,490,15000,5400,160000
4542,BASAVANAPURA LAKE,LAKE,KARNATAKA,25.0,25.0,4.4,6.5,6.5,8.1,209,1194,4.0,9.0,0.70,3.20,3300,140000,24000,540000
4515,BATTARAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,3.2,6.8,7.1,8.5,706,949,4.0,17.0,0.40,6.49,3300,150000,24000,1600000
3602,BELLANDUR LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,2.8,6.5,6.9,1035,1187,18.0,87.0,1.10,5.00,2300,1200000000,24000,9200000000
3679,BHUTANALA LAKE,LAKE,KARNATAKA,24.0,29.0,0.3,10.9,7.6,9.0,708,1528,1.0,38.0,0.32,6.00,920,1840,1600,3200
3649,BUGUDANAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,5.7,6.9,6.5,7.2,141,312,3.0,5.0,0.40,11.50,1200,15000,16000,160000
4507,CHELEKERE LAKE,LAKE,KARNATAKA,25.0,25.0,4.0,7.0,6.5,7.4,297,1326,3.0,11.0,0.60,2.30,3300,940000,24000,5400000
4095,"CHIKKABANVARA LAKE,
CHIKKABANWARA, BENGALURU NORTH",LAKE,KARNATAKA,25.0,25.0,1.0,7.0,6.5,7.7,225,1871,4.0,22.0,0.36,3.00,3300,1100000,24000,9200000
4537,CHINNAKURCHI KERE,LAKE,KARNATAKA,25.0,25.1,4.8,7.4,6.5,7.8,208,521,2.0,10.0,0.30,2.20,23,46000,24000,350000
4520,CHINNAPANHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,2.1,4.8,6.5,8.5,671,1238,6.0,36.0,1.50,3.60,4000,79000,24000,540000
3584,DALAVAI LAKE,LAKE,KARNATAKA,21.0,26.0,0.3,3.6,7.1,8.5,725,1168,8.0,14.0,2.10,4.90,2100,3300,7000,12000
4521,DEVARABEESANAHALLI LAKE,LAKE,KARNATAKA,21.0,25.0,2.1,6.6,6.5,7.6,425,1336,3.0,30.0,1.10,9.40,4000,14000,24000,160000
3645,DEVARAYASAMUDRA LAKE,LAKE,KARNATAKA,25.0,25.0,3.4,6.6,6.1,8.0,185,1114,3.0,8.0,0.30,9.79,4000,120000,24000,1600000
4539,DODDABIDARAKALLU LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,5.1,6.3,7.4,974,1737,9.0,375.0,1.20,8.00,3300,2300000000,24000,2400000000
4094,"GANGONDANA HALLI LAKE, BENGALURU
NORTH",LAKE,KARNATAKA,25.0,25.0,0.3,6.0,6.0,7.5,359,3010,5.0,203.0,0.70,13.00,4600,94000000,35000,540000000
4518,GARUDACHARPALYA LAKE,LAKE,KARNATAKA,25.0,25.0,4.0,6.2,6.5,7.6,325,1769,4.0,15.0,0.50,4.50,2300,94000,24000,540000
3613,GOTTIGERE LAKE,LAKE,KARNATAKA,25.0,25.0,2.0,7.1,6.4,8.4,221,1453,4.0,42.0,0.60,3.60,2300,46000,24000,350000
3654,GOTTIGERE LAKE,LAKE,KARNATAKA,25.0,26.0,2.1,6.8,6.1,7.1,240,2720,3.0,34.0,0.30,8.80,4000,120000,24000,920000
4535,GUBBALAL KERE,LAKE,KARNATAKA,25.0,25.0,4.8,6.4,6.5,7.7,247,371,3.0,11.0,0.40,0.80,1500,15000,16000,160000
3621,HARALAKUNTE LAKE,LAKE,KARNATAKA,25.0,25.0,1.2,5.9,6.5,8.4,812,1282,4.0,30.0,0.80,5.30,3300,23000,24000,240000
1446,"HEBALLA VALLEY LAKE AT D/S ROAD BRIDGE NR. MANDYA,",LAKE,KARNATAKA,22.0,29.0,5.2,5.8,7.5,8.5,386,655,3.5,4.8,1.80,6.00,240,790,2200,3800
3582,HEBBAL LAKE,LAKE,KARNATAKA,19.0,25.0,4.4,6.3,7.5,9.0,986,1549,3.5,7.4,2.30,8.10,910,2600,5800,7000
3625,HEBBAL LAKE,LAKE,KARNATAKA,25.0,25.0,3.2,6.9,6.4,7.4,303,974,3.0,16.0,0.90,4.00,4000,480000,35000,3500000
4536,HOSAKEREHALLI LAKE,LAKE,KARNATAKA,25.0,25.1,0.3,6.0,6.5,7.0,550,1576,5.0,78.0,0.70,4.50,3300,700000,24000,3500000
3617,HULIMAVU LAKE,LAKE,KARNATAKA,25.0,25.0,3.1,7.2,6.9,7.9,217,1466,3.0,10.0,1.00,5.20,3300,17000,24000,160000
3609,IBBALUR LAKE,LAKE,KARNATAKA,25.0,25.0,2.0,6.4,6.5,7.4,206,738,4.0,16.0,0.50,3.40,4600,330000,35000,2400000
4546,JAKKSANDRA LAKE,LAKE,KARNATAKA,25.0,25.0,1.0,6.3,6.5,7.4,521,1017,3.0,35.0,1.00,4.20,2300,63000,24000,540000
3627,JAKKUR LAKE,LAKE,KARNATAKA,25.0,25.0,2.8,6.1,6.5,8.2,447,1323,3.0,13.0,1.27,4.70,2300,700000,24000,16000000
4097,"KACHOHALLI LAKE, KACHOHALLI,
BENGALURU NORTH",LAKE,KARNATAKA,25.0,25.0,0.3,5.5,6.3,7.6,286,2280,6.0,124.0,0.60,19.00,3300,480000,24000,3500000
3611,KAIKONDANAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,7.2,6.6,7.7,629,1449,3.0,27.0,0.93,6.00,2200,1700000,24000,16000000
3616,KALENA AGRAHARA LAKE,LAKE,KARNATAKA,25.0,25.0,4.1,7.2,6.5,8.4,424,1304,3.0,12.0,1.00,5.30,3300,23000,24000,240000
4540,KAMMGONDANAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,2.3,6.8,6.5,7.5,180,2116,3.0,12.0,0.30,4.00,4900,130000,24000,1600000
3601,KARIHOBANAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,6.1,6.5,7.4,827,2860,3.0,80.0,1.70,7.03,4800,48000000,35000,350000000
4529,KASAVANAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,4.6,7.1,6.7,7.0,210,853,4.0,6.0,1.00,5.00,4600,46000,35000,350000
3591,KEMPAMBUDHI LAKE,LAKE,KARNATAKA,25.0,25.0,4.3,6.8,6.5,8.5,299,787,3.0,14.0,0.88,2.30,2300,140000,24000,1600000
3680,KILLA LAKE,LAKE,KARNATAKA,21.0,33.0,4.6,10.0,7.0,8.8,332,692,1.3,6.4,0.30,4.70,920,920,1600,1600
4543,KODI SINGASANDRA LAKE,LAKE,KARNATAKA,25.0,25.0,2.7,6.9,6.5,8.0,488,1253,3.0,20.0,0.30,6.80,2300,46000,24000,350000
4544,KOTHUNURU LAKE,LAKE,KARNATAKA,25.0,25.0,3.0,6.2,6.6,7.6,369,1345,4.0,34.0,0.50,4.00,2700,14000,24000,160000
4517,KOWDHENAHALLI LAKE,LAKE,KARNATAKA,25.0,25.1,0.3,6.5,6.5,8.3,313,3370,5.0,54.0,0.30,8.09,2600,330000,24000,2400000
3583,KUKKARAHALLI LAKE,LAKE,KARNATAKA,21.0,25.0,5.0,6.8,7.1,9.0,495,770,2.7,4.4,1.00,3.10,830,1400,4600,6300
4516,KUNDALAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,3.0,6.1,6.8,7.8,725,1299,4.0,17.0,0.81,15.00,460,94000,3500,540000
3586,LIMBHABUDI LAKE,LAKE,KARNATAKA,20.0,26.0,4.6,6.0,7.3,8.8,564,850,3.5,5.2,1.50,3.10,780,1700,5800,8400
4538,MACHOHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,6.4,6.3,7.6,385,4200,3.0,145.0,0.60,11.00,3300,1200000,24000,9200000
3644,MULBHAGAL LAKE,LAKE,KARNATAKA,25.0,25.0,1.2,5.4,6.8,8.2,647,2009,4.0,78.0,1.10,6.00,3300,63000,24000,540000
4523,NALLURAHALLI LAKE,LAKE,KARNATAKA,24.0,25.0,3.6,6.5,6.5,6.7,374,820,3.0,10.0,1.20,3.00,3900,7000,24000,54000
3646,NARASAPURA LAKE,LAKE,KARNATAKA,25.0,25.0,4.1,6.2,6.9,8.0,543,1021,3.0,10.0,0.30,7.75,3300,130000,24000,920000
4509,NARASIPURA LAKE,LAKE,KARNATAKA,25.0,25.0,1.1,7.1,6.5,7.8,304,821,3.0,34.0,0.44,3.20,3400,7000000,24000,92000000
3685,NAVALOORU LAKE,LAKE,KARNATAKA,24.0,26.0,6.5,6.8,7.4,8.0,810,1070,3.4,3.9,0.92,1.22,26,52,109,165
4505,NELAMANGALA LAKE,LAKE,KARNATAKA,25.0,25.0,0.8,6.3,6.5,7.6,422,2120,4.0,46.0,1.22,7.60,4600,34000,35000,240000
3620,PARAPPANA AGRAHARA LAKE,LAKE,KARNATAKA,25.0,25.0,1.8,6.5,6.5,8.0,207,1297,5.0,38.0,0.30,7.90,2300,1100000,24000,9200000
4524,PATTANDUR AGARAHARA,LAKE,KARNATAKA,25.0,25.0,0.3,6.8,6.5,8.2,346,741,4.0,32.0,0.50,2.80,330,63000,9200,540000
3624,PUTTENAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,3.0,6.3,6.6,7.7,459,1173,3.0,22.0,1.10,2.57,3300,94000,24000,540000
3614,PUTTENAHALLI LAKE (S),LAKE,KARNATAKA,25.0,25.0,4.7,6.0,6.9,7.8,290,1233,3.0,11.0,1.10,3.00,4000,9400,35000,54000
4510,RACHENAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,3.1,6.7,6.6,8.5,413,1236,4.0,23.0,0.47,4.60,3300,150000,24000,1600000
4519,RAMPURA LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,4.2,6.6,7.4,1023,1480,9.0,93.0,0.90,6.00,3300,1700000,35000,9200000
4514,SADRAMANGALA LAKE,LAKE,KARNATAKA,24.0,25.0,1.5,7.0,6.5,8.3,552,1027,4.0,35.0,1.40,10.00,3300,15000,24000,160000
4504,SARAKKI LAKE,LAKE,KARNATAKA,25.0,25.0,4.9,7.1,6.9,8.2,415,783,3.0,9.0,0.30,5.00,3300,120000,24000,920000
4525,SEETHARAM PALYA LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,5.9,7.1,8.7,512,3860,4.0,50.0,2.09,11.00,3300,63000,24000,540000
3587,SHETTYKERE LAKE,LAKE,KARNATAKA,20.0,34.0,4.3,6.6,6.9,8.9,583,1028,3.0,6.0,1.80,3.60,700,2200,4700,7000
4508,SINGAPURA LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,5.2,6.5,7.2,886,1374,5.0,47.0,0.30,5.90,4800,790000,35000,5400000
3618,SINGASANDRA LAKE,LAKE,KARNATAKA,25.0,25.0,1.1,7.0,6.5,7.6,562,1367,4.0,36.0,0.50,6.00,4300,130000,35000,1600000
3622,SOMASUNDRA PALYA LAKE,LAKE,KARNATAKA,25.0,25.0,2.8,6.9,6.6,7.6,216,1323,3.4,21.0,0.50,3.40,2300,140000,24000,920000
4534,SOMPURA LAKE,LAKE,KARNATAKA,25.0,25.1,4.2,7.2,7.0,7.7,239,532,2.0,6.0,0.60,2.10,2300,110000,24000,920000
4547,SWARANA KUNTE,LAKE,KARNATAKA,25.0,25.0,4.2,6.8,6.5,8.5,444,1320,3.0,9.0,0.50,3.00,2300,120000,24000,1600000
3610,TUBRAHALLI LAKE,LAKE,KARNATAKA,25.0,25.0,0.3,4.8,6.7,8.1,1109,1593,7.0,81.0,0.40,3.00,9400,13000,54000,160000
4533,ULLALU LAKE,LAKE,KARNATAKA,25.0,25.0,2.0,6.3,6.5,7.7,369,1561,3.0,15.0,0.58,25.00,3400,630000,24000,5400000
3593,ULSOOR LAKE TEMPLE,LAKE,KARNATAKA,25.0,25.0,1.8,7.0,6.6,8.8,254,551,3.0,42.0,0.30,2.01,4000,700000,24000,3500000
1388,"ULSOOR LAKE TRAINING CENTRE OF FISH BREEDING,",LAKE,KARNATAKA,25.0,25.0,2.0,6.8,6.8,8.5,253,570,3.0,38.0,0.67,2.00,2300,490000,24000,2400000
3608,VARTHUR LAKE,LAKE,KARNATAKA,25.0,26.0,0.3,4.8,6.5,7.7,798,1347,6.0,60.0,1.00,19.00,11000,1500000000,160000,1600000000
4527,WHITEFIELD KERE,LAKE,KARNATAKA,24.0,25.0,0.3,6.9,6.6,8.4,496,889,4.0,62.0,0.30,13.40,3300,150000,24000,1600000
3592,YEDIYUR LAKE,LAKE,KARNATAKA,25.0,25.0,4.1,7.1,6.5,8.2,201,334,3.0,18.0,0.60,2.40,4600,46000,24000,920000
3585,YENNEHOLE LAKE,LAKE,KARNATAKA,21.0,33.0,1.0,3.9,7.0,8.5,742,1252,1.4,14.0,2.50,7.50,1300,4900,7900,14000
3696,AIANAKERE TANK,TANK,KARNATAKA,23.0,32.0,3.1,7.2,8.0,8.3,654,1980,4.0,132.0,0.30,1.40,-,-,-,-
3629,ALLASANDRA TANK,TANK,KARNATAKA,25.0,25.0,4.0,6.4,6.5,8.4,421,1223,4.0,8.5,0.90,5.00,6300,11000000,54000,92000000
4541,ALUR KERE,TANK,KARNATAKA,25.0,25.0,4.2,6.9,6.5,7.3,89,678,3.0,16.0,0.30,2.00,3300,49000,35000,240000
3623,ANEKAL DODDAKERE TANK,TANK,KARNATAKA,25.0,25.0,0.3,7.3,6.6,8.0,414,3020,2.0,69.0,0.72,11.10,3300,15000,24000,160000
3681,ANGOL MI TANK,TANK,KARNATAKA,21.0,33.0,0.3,8.0,6.6,9.5,293,584,3.7,57.0,0.32,5.46,1480,1840,3200,3200
3638,ANNAYAPPA TANK,TANK,KARNATAKA,25.0,25.0,4.0,7.0,6.5,8.1,173,493,3.0,8.0,0.30,1.53,4100,46000,24000,540000
3673,AVALI KERE,TANK,KARNATAKA,21.0,27.0,3.0,4.3,7.3,7.9,980,1930,3.8,6.4,0.70,1.30,130,930,1100,4900
3675,B KATIHALLI KERE,TANK,KARNATAKA,21.0,27.0,5.4,6.7,7.4,7.9,290,450,2.0,2.4,0.30,0.30,110,140,920,1200
3636,BANDEMATTA TANK,TANK,KARNATAKA,25.0,25.0,3.0,6.9,6.5,7.6,196,1268,5.0,18.0,0.40,3.23,6300,33000,54000,240000
3664,BASAVANAHALLIKERE TANK,TANK,KARNATAKA,25.0,25.0,5.9,5.9,7.7,7.7,500,500,2.0,2.0,0.30,0.30,330,330,2200,2200
3643,BEENNIGANAHALLI TANK,TANK,KARNATAKA,25.0,25.0,0.5,7.0,6.6,7.9,304,1079,3.0,24.0,0.73,2.70,3300,70000,24000,1600000
3619,BEGUR TANK,TANK,KARNATAKA,25.0,25.0,4.1,6.5,6.4,7.5,426,1444,3.0,10.0,0.70,8.00,2700,110000,24000,920000
3693,BHATHIKERE TANK,TANK,KARNATAKA,26.0,32.0,0.5,7.3,7.1,7.8,260,890,3.0,12.0,0.30,6.87,-,-,-,-
3651,BHEEMSANDRA TANK,TANK,KARNATAKA,25.0,25.0,1.0,6.2,6.7,7.4,740,1870,4.0,46.0,2.00,78.00,3300,110000,35000,920000
3637,BYRAMANGALA TANK,TANK,KARNATAKA,25.0,25.0,2.2,6.1,6.8,7.7,821,1413,4.0,27.0,0.81,6.10,3300,120000,24000,920000
3595,BYRASANDRA TANK,TANK,KARNATAKA,25.0,25.1,3.2,6.2,6.5,7.7,274,1223,3.0,14.0,0.94,4.30,4800,150000,35000,1600000
4532,CHANDAPURA LAKE,TANK,KARNATAKA,25.0,25.0,0.3,5.0,6.7,7.4,1099,2309,6.0,42.0,1.00,27.00,2300,460000,24000,3500000
3606,DASARAHALLI TANK,TANK,KARNATAKA,25.0,26.0,2.9,6.8,6.1,7.4,194,1120,2.0,14.0,0.51,2.50,3300,40000,13000,350000
3634,DEVARAKERE TANK,TANK,KARNATAKA,25.0,25.0,3.0,7.3,6.5,7.6,271,2540,3.0,17.0,0.30,6.60,4700,94000,35000,920000
3641,DHOREKERE TANK,TANK,KARNATAKA,25.0,25.0,0.3,6.3,6.5,7.4,237,1145,3.8,39.0,0.70,5.20,2300,120000,24000,920000
3653,DODDAKERE TANK,TANK,KARNATAKA,25.0,26.0,4.8,7.2,6.5,7.3,155,406,3.0,6.0,0.30,1.00,2300,15000,24000,160000
3604,DODDANAKUNDI TANK,TANK,KARNATAKA,25.0,25.0,3.3,6.1,6.5,7.8,574,2730,4.0,10.0,1.10,4.50,3300,49000,35000,240000
4526,DYAVASANDRA TANK,TANK,KARNATAKA,25.0,25.0,4.0,6.8,6.3,7.9,236,775,2.0,9.0,0.60,3.00,3300,14000,24000,160000
3666,GANIGARAHOSAHALLIKERE TANK,TANK,KARNATAKA,21.0,25.0,4.6,6.0,7.6,8.3,460,1180,2.0,3.2,0.30,0.40,140,320,1100,2100
3676,GAVENAHALLIKERE,TANK,KARNATAKA,20.0,28.0,5.6,7.3,7.4,7.9,330,470,2.0,2.2,0.30,0.30,92,220,920,1400
3671,HANUMANTHAPURAKATTE TANK,TANK,KARNATAKA,22.0,27.0,4.2,5.7,7.5,7.8,390,500,2.2,2.6,0.30,0.30,210,340,1700,2200
3683,HEREKERE TANK,TANK,KARNATAKA,24.0,26.0,4.5,5.5,7.4,7.9,739,889,9.0,24.0,1.22,1.67,63,175,279,561
3598,HEROHALLI TANK,TANK,KARNATAKA,25.0,25.0,0.3,6.3,6.2,7.4,321,1566,4.0,30.0,0.30,6.30,3400,46000,24000,350000
3597,HESARAGHATTA TANK,TANK,KARNATAKA,25.0,25.0,4.8,6.6,5.4,8.1,123,702,2.0,7.0,0.30,2.40,4600,6300000,35000,54000000
3559,HULLIGE TANK,TANK,KARNATAKA,24.0,29.0,6.9,7.5,7.4,8.4,312,1485,2.5,6.0,0.30,1.30,350,1400,1600,5400
3660,HUNASINA KERE TANK,TANK,KARNATAKA,21.0,27.0,5.3,7.1,7.3,7.8,440,530,2.0,2.6,0.30,0.30,170,700,1200,3500
3561,HUNDIKERE (KOPPAL) TANK,TANK,KARNATAKA,24.0,29.0,7.0,7.6,7.5,8.4,326,1458,3.0,6.0,0.30,0.30,350,1300,1600,5400
3670,INORKATTE KERE,TANK,KARNATAKA,23.0,24.0,4.6,6.0,7.3,7.8,320,440,2.0,2.2,0.30,0.32,200,330,1700,2200
3642,JIGANI TNAK,TANK,KARNATAKA,23.0,25.0,4.8,6.9,6.5,7.3,394,1543,2.0,20.0,1.00,4.00,2700,70000,24000,920000
3663,JOLADAKATTE TANK,TANK,KARNATAKA,21.0,27.0,4.2,5.8,7.7,8.1,390,650,2.1,3.0,0.30,0.30,210,470,1400,3500
3682,KAKATI POND,TANK,KARNATAKA,21.0,32.0,4.0,9.0,8.4,10.3,1180,3819,1.1,16.2,0.40,6.53,920,1840,1600,3200
3607,KALKERE TANK,TANK,KARNATAKA,25.0,25.0,1.8,6.3,6.5,8.4,393,1201,4.0,25.0,0.40,5.30,3300,2800000,24000,16000000
4530,KAMMASANDRA TANK,TANK,KARNATAKA,25.0,25.0,0.3,4.1,6.7,7.3,1237,2135,9.0,101.0,1.80,16.00,2100,12000000,24000,92000000
3657,KANCHANAHALLI KOPPALU KERE,TANK,KARNATAKA,21.0,27.0,2.4,5.0,7.3,8.1,990,4300,3.4,6.8,0.50,1.90,110,700,920,4700
3588,KARANJIKERE TANK,TANK,KARNATAKA,19.0,26.0,6.0,7.4,7.4,8.6,496,764,2.5,6.0,1.50,3.20,700,1100,4300,5800
3684,KELEGERE TANK,TANK,KARNATAKA,23.0,26.0,6.7,7.4,7.5,8.2,447,592,3.2,4.1,0.62,0.88,32,79,212,290
3639,KENGERI TANK,TANK,KARNATAKA,25.0,25.0,1.3,7.6,6.5,7.7,289,1389,3.0,40.0,0.59,6.30,3300,940000,24000,5400000
4511,KOGILU KERE,TANK,KARNATAKA,25.0,25.0,3.1,7.2,6.5,8.3,407,1332,3.0,13.0,0.40,4.40,3300,6300000,35000,160000000
3661,KOKKANAGHATTADODDAKERE TANK,TANK,KARNATAKA,22.0,27.0,3.6,6.9,7.7,8.8,500,2900,2.6,7.2,0.30,1.30,140,400,1100,2800
3695,KONDAGGIKERE TANK,TANK,KARNATAKA,26.0,28.0,5.8,7.4,7.6,8.2,220,370,2.2,6.5,0.30,0.30,-,-,-,-
3662,KOUSHIKA KERE,TANK,KARNATAKA,21.0,27.0,5.7,7.3,7.3,7.8,450,540,1.8,2.3,0.30,0.30,93,220,920,1400
3692,KUNDUVADAKERE TANK,TANK,KARNATAKA,27.0,27.0,6.9,6.9,8.0,8.0,330,330,2.3,2.3,1.10,1.10,-,-,-,-
3590,LALBAGH TANK,TANK,KARNATAKA,25.0,25.0,2.6,6.9,6.6,8.1,397,509,3.0,28.0,0.61,3.00,3100,49000,24000,540000
3665,LINGAPPANAKATTE TANK,TANK,KARNATAKA,21.0,27.0,5.0,7.0,7.5,7.9,370,620,2.0,3.0,0.30,0.30,94,270,920,1700
3599,MADAVARA TANK,TANK,KARNATAKA,25.0,25.0,3.4,6.6,6.2,7.6,213,1240,2.0,13.0,0.56,3.80,2300,460000,24000,3500000
4503,MADHURE TANK,TANK,KARNATAKA,25.0,25.0,3.4,6.3,6.5,6.8,64,398,3.0,18.0,0.30,2.10,4900,11000000,24000,92000000
3589,MADIWALA TANK,TANK,KARNATAKA,25.0,25.0,4.2,7.1,6.7,8.4,286,1402,3.0,10.0,1.03,4.30,2300,170000,24000,1600000
3659,MAKANA KERE,TANK,KARNATAKA,21.0,27.0,1.9,3.0,7.3,8.0,740,1400,3.8,5.8,0.70,1.20,930,2600,7000,13000
3635,MALATHAHALLI TANK,TANK,KARNATAKA,25.0,25.0,0.3,5.8,6.3,7.6,375,1898,4.0,38.0,1.60,7.80,4900,1100000,24000,9200000
4092,"MANCHALAPUR TANK, MANCHALAPUR, RAICHUR TQ & DIST",TANK,KARNATAKA,26.0,29.0,6.5,7.2,7.8,8.8,922,2385,6.0,18.0,0.30,2.27,7900,54000,35000,160000
4501,MANCHANABALE DAM,TANK,KARNATAKA,25.0,25.0,3.3,7.0,6.6,8.3,643,1100,4.0,10.0,0.30,14.04,3300,33000,24000,350000
4512,MANCHANABALE DAM,TANK,KARNATAKA,25.0,25.0,0.3,6.5,6.5,7.4,183,1733,8.0,174.0,0.80,45.00,4600,63000,35000,540000
3697,MATTADAKERE TANK,TANK,KARNATAKA,24.0,29.5,4.2,8.4,7.2,8.4,770,920,5.0,34.0,0.30,3.00,-,-,-,-
3560,MAVENAKERE TANK,TANK,KARNATAKA,26.0,29.0,6.5,7.2,7.5,9.3,962,2156,7.0,30.0,0.30,0.36,14000,54000,54000,160000
3650,MELEKOTE TANK,TANK,KARNATAKA,25.0,25.0,1.1,6.4,6.6,8.0,704,1397,3.0,53.0,1.00,6.30,4600,110000,35000,920000
3648,MYDALA TANK,TANK,KARNATAKA,25.0,25.0,4.8,7.3,6.5,7.2,151,599,3.0,4.0,0.52,2.00,630,17000,5400,160000
3626,NAGAVARA TANK,TANK,KARNATAKA,25.0,25.0,1.0,7.1,6.5,8.0,308,773,3.0,35.0,0.50,3.00,4000,79000000,24000,540000000
3596,NAYANDANAHALLI TANK,TANK,KARNATAKA,25.0,25.1,0.3,6.0,6.1,8.0,211,1231,3.6,195.0,0.50,2.99,3300,700000,24000,3500000
3686,NIRASAGARAKERE TANK,TANK,KARNATAKA,24.0,25.0,7.3,7.6,7.5,8.2,326,438,1.0,2.5,0.32,0.92,2,14,10,32
3687,NUGGIKERE TANK,TANK,KARNATAKA,23.0,25.0,6.5,6.9,7.3,8.1,620,850,3.2,3.8,0.72,1.92,19,52,76,148
3669,PEREMINAHALLI KERE,TANK,KARNATAKA,22.0,27.0,5.2,6.4,7.4,7.8,380,520,1.8,2.5,0.30,0.30,94,400,920,3300
3565,PILIKULA TANK,TANK,KARNATAKA,28.0,30.0,4.9,7.9,6.5,7.2,128,224,2.0,3.0,2.10,7.00,23,1600,23,1600
