chunk_id,document,text,chunk_length
medical_oncology_handbook_june_2020_edition.pdf_23,medical_oncology_handbook_june_2020_edition.pdf,"11 
 
For most regimens, a neutrophil count >1.5 x 109/L and platelet count > 100 x 
109/L are needed for safe administration of chemotherapy. For some regimens, 
lower levels may be acceptable. 
Single agent bleomycin and vincristine  are not myelotoxic and administration is 
not affected by blood counts. 
Renal function is important for cisplatin and carboplatin and liver function for 
docetaxel, Magnesium levels especially for cisplatin  and Calcium levels for 
denosumab. 
Action - withhold treatment until recovery, then dose delay and/or dose reduction 
after discussion with senior staff. 
b. Pregnancy test: For women of child bearing potential, perform beta HCG 
before initiating treatment. 
2. Non-haematological toxicity 
(Also see the summary of common side effects for selected drugs on page 25). 
a. Diarrhoea – mainly 5FU based, Irinotecan, Oxaliplatin, docetaxel. 
Action - low threshold for withholding therapy if diarrhoea the day before , or",965
medical_oncology_handbook_june_2020_edition.pdf_24,medical_oncology_handbook_june_2020_edition.pdf,"Action - low threshold for withholding therapy if diarrhoea the day before , or 
moderate diarrhoea for longer than expected duration, or nocturnal diarrhoea. 
b. Mucositis/mouth care. 
c. Emesis. 
   Action - (see anti-emetics) change class, change route, add another agent, or  
   reduction of chemotherapy dose. 
d. Skin Rash. 
e. Neuropathy- Cisplatin, Oxaliplatin, Taxanes and Vinca alkaloids. 
               Doses are delayed, reduced or omitted if neuropathy persists or interferes with  
               function. 
f. Autotoxicity- Cisplatin. 
g. Renal impairment- Cisplatin. 
Action- prior to most agents, need to check creatinine especially if they are renally 
cleared and Carboplatin dose adjusted based on creatinine. 
h. Pulmonary toxicity- bleomycin, methotrexate. 
3. Physical examination-Routine exam and oral cavity, central lines and IV site 
infections, lymph nodes and signs of recurrence and side effects.",928
medical_oncology_handbook_june_2020_edition.pdf_25,medical_oncology_handbook_june_2020_edition.pdf,"12 
 
Symptom control 
Discussion or shared care with palliative care is helpful. However, basic principles are as 
follows: 
(Also refer to the Guide for inpatient medication prescription) 
1. Pain:    Always find out the cause of the pain before prescribing analgesics. 
Total daily morphine requirement will guide the required daily slow release dose. 
When prescribing breakthrough, the dose is 1/6th of the daily dose. So, if you are 
increasing the daily dose, breakthrough needs to increase as well. If oral intake is 
difficult—patches or infusional morphine are options. 
4. Dyspnoea:    Again, find out the cause, for cancer related dyspnoea—nebulised 
morphine and anxiolytics could be helpful. 
When to stop cancer treatment 
A decision to stop treatment prematurely depends on the aim of the treatment. 
For curable cancers, it is acceptable to continue treatment with dose modifications. 
However, life threatening or severe dose  limiting toxicities usually necessitate cessation",994
medical_oncology_handbook_june_2020_edition.pdf_26,medical_oncology_handbook_june_2020_edition.pdf,"However, life threatening or severe dose  limiting toxicities usually necessitate cessation 
of treatment (eg. moderate to severe peripheral neuropathy with taxanes and oxaliplatin, 
severe enteritis from fluorouracil). Alternative regimens are sometimes available. 
If the cancer is incurable and th e toxicities severely interfere with the activities of daily 
living, treatment may have to be stopped. 
Deteriorating performance status and organ function usually require cessation of 
treatment. Ongoing neutropenia or thrombocytopenia typically means the p atient is not 
going to handle further chemotherapy. 
In case of patients with metastatic disease, palliative care team referral is done even when 
they are on active treatment, to improve symptom management and supportive care.",789
medical_oncology_handbook_june_2020_edition.pdf_27,medical_oncology_handbook_june_2020_edition.pdf,"13 
 
Common side effects of systemic therapeutic agents 
• Adriamycin/ Epirubicin    
Be aware of cumulative dose, perform cardiac function every 2-3cycles. 
• Bleomycin-  
Lung functions every 3 weeks (consider, discuss with consultant) 
• Cisplatin 
Renal function, Mg levels, peripheral neuropathy, hearing loss/tinnitus. 
• Carboplatin 
Adjust dose based on renal function; Dose = AUC x (GFR+25).  
• 5-FU 
Diarrhoea-In severe cases, it can be life threatening. 
Before proceeding with treatment, please make sure no diarrhoea on the day and 
on the previous day of chemotherapy. When diarrhoea has been moderate to 
severe, consider dose reduction or cessation.  
5FU could also cause coronary artery spasm. 
In severe 5FU enteritis, admission for bowel rest +/ -TPN along with 
aggressive anti diarrhoeal and antibiotics may be required.  
• Gemcitabine  
Pneumonitis, peripheral edema. 
• Irinotecan- Normal bilirubin is required.",938
medical_oncology_handbook_june_2020_edition.pdf_28,medical_oncology_handbook_june_2020_edition.pdf,"• Gemcitabine  
Pneumonitis, peripheral edema. 
• Irinotecan- Normal bilirubin is required.  
Diarrhoea and flushing: acute symptoms related to parasympathetic system could 
settle with atropine with chemotherapy.   
For chronic symptoms, dose reduction may necessary. 
• Taxol/ Paclitaxel 
Peripheral neuropathy, flu like symptoms.",332
medical_oncology_handbook_june_2020_edition.pdf_29,medical_oncology_handbook_june_2020_edition.pdf,"14 
 
• Taxotere/Docetaxel 
Adequate liver function, peripheral edema, neuropathy, rash. 
• Oxaliplatin 
Cold induced paresthesia (acceptable), but signs of peripheral Neuropathy may be 
dose limiting.  Laryngo spasm (cold induced) and bronchospasm are other acute 
side effects. 
• Cyclophosphamide/ Ifosfamide 
Renal function, hydration, confusion from encephalopathy. 
• Capecitabine 
Mucositis, hand foot syndrome, rash, angina, diarrhoea. 
• Trastuzumab 
Cardiac function every 3 months. 
• Cetuximab/Panitumumab 
Acneform rash.   
• Methotrexate 
Folinic acid rescue for higher doses only. 
• Caelyx/ Liposomal doxorubicin 
Rash, hand foot syndrome, cardiac function. 
• Avastin/Bevacizumab 
Hypertension and proteinuria. 
• Denosumab 
Prolonged hypocalcaemia (require calcium suppliments). 
• Dabrafenib (b-Raf inhibitor) 
Pyrexia, rash, squamous cell carcinomas of skin. 
• Mekinist – MEK inhibitor 
Usually combined with Dabrafenib to reduce in cidence of skin squamous cell 
carcinoma",994
medical_oncology_handbook_june_2020_edition.pdf_30,medical_oncology_handbook_june_2020_edition.pdf,"Usually combined with Dabrafenib to reduce in cidence of skin squamous cell 
carcinoma 
• Zolendronic acid 
Renal function, hypocalcaemia, requires dose reduction for renal impairment.  
Need calcium supplements.",212
medical_oncology_handbook_june_2020_edition.pdf_31,medical_oncology_handbook_june_2020_edition.pdf,"15 
 
• Check point inhibitors (Ipilumumab, nivolumab, Pembrolizumab) 
Autoimmune complications such as  colitis, pneumonitis, hepatitis and 
inflammation of pituitary gland leading to Addison’s crisis require urgent medical 
attention. 
• Alopecia 
This does not occur with every medication. 
Common with breast, ovarian, sarcoma, small cell, lung (Carbo/Taxol) cancer and 
testicular regimens 
Common chemotherapy abbreviations 
Breast Cancer  
TAC Docetaxel, Adriamycin, Cyclophosphamide 
FEC 5Fluorouracil, Epirubicin, Cyclophosphamide 
AC (inc DD) Adriamycin, Cyclophosphamide (DD for dose dense) 
TC Docetaxel, Cyclophosphamide 
Colo-rectal Cancer  
FOLFOX Oxaliplatin, Continious infusion 5Fluorouracil and 
Leucovorin 
XELOX Oxaliplatin, Capecitabine 
FOLFIRI Irinotecan, Continious infusion 5 Fluorouracil and 
Leucovirin 
XELIRI Irinotecan, Capecitabine 
Gastric/Lower Oesophageal  
ECF Epirubicin, Cisplatin, 5 Fluorouracil 
EOX Epirubicin, Oxaliplatin, Capecitabine",977
medical_oncology_handbook_june_2020_edition.pdf_32,medical_oncology_handbook_june_2020_edition.pdf,"ECF Epirubicin, Cisplatin, 5 Fluorouracil 
EOX Epirubicin, Oxaliplatin, Capecitabine 
FLOT 5FU, Leucovorin, Oxaliplatin, Docetaxel 
Head and Neck Cancer  
TPF Docetaxel, Cisplatin, 5 Fluorouracil 
Testicular Cancer  
BEP Bleomycin, Etoposide, Cisplatin 
TIP Paclitaxel, Ifosfamide, Cisplatin",291
medical_oncology_handbook_june_2020_edition.pdf_33,medical_oncology_handbook_june_2020_edition.pdf,"16 
 
Chemotherapy related emesis 
Causes of nausea and vomiting in patients receiving chemotherapy: 
• Chemotherapy related. 
• Other causes such as gastro-oesophageal reflux disease or medications 
related. 
Pathways by which chemotherapeutic agents may produce an emetic 
response 2 
 
 
Chemotherapy-induced emesis results from stimulation of a multistep reflex pathway that 
is controlled by the brain and triggered by afferent impulses to the vomiting centre from 
the chemoreceptor trigger zone, gastrointestinal tract (by way of vagal affere nt fibres), 
and possibly, the cerebral cortex.   
 
2 Hesketh, P. J. (2008). ""Chemotherapy-induced nausea and vomiting."" New England 
Journal of Medicine 358(23): 2482-2494.",724
medical_oncology_handbook_june_2020_edition.pdf_34,medical_oncology_handbook_june_2020_edition.pdf,"17 
 
Emetogenic potential of chemotherapy agents 
 
High  
(>90%) 
Moderate  
(60-90%) 
Moderate 
(30-60%) 
Low 
(10-30%) Minimal 
Cisplatin 
>50mg/m2 
Carboplatin Cyclophos 
<750mg/m2 
Xeloda/5FU Bleomycin 
Dacarbazine 
 
Cisplatin 
<50mg/m2 
cabazitaxel Docetaxel Herceptin 
Cyclophos> 
1.5g/m2 
Doxorubicin 
>60mg/m2 
Doxorubicin 
20-60mg/m2 
Caelyx Cetuximab 
 Epirubicin 
>90mg/m2 
Epirubicin 
<90mg/m2 
Taxol Vincristine 
  Irinotecan, 
Oxaliplatin 
Gemzar,  Vinorelbine 
*Acute or early nausea and vomiting- within 24 hours of chemotherapy. 
*Delayed/late – after 24 hours of chemotherapy. . 
For Cisplatin, emesis reaches its maximal intensity 48 -72 hours after chemotherapy and 
can last up to 6-7 days. 
*Anticipatory nausea and vomiting- Nausea before chemotherapy 
Five neurotransmitter receptor sites are of primary importance in the vomiting reflex: M1 
– muscarinic, D2 – dopamine, H1 – histamine, 5-hydroxytryptamine (HT)-3 – serotonin,",954
medical_oncology_handbook_june_2020_edition.pdf_35,medical_oncology_handbook_june_2020_edition.pdf,"– muscarinic, D2 – dopamine, H1 – histamine, 5-hydroxytryptamine (HT)-3 – serotonin, 
Neurokinin 1 (NK1) receptor – substance P 
Antiemetics 
• Neurokinin 1 receptor antagonist- Aprepitant (emend), fosaprepitant 
(Only for prophylaxis). 
• 5HT3 antagonists: ondansetron (zofran), granisetron & palonosetron (aloxi). 
• Dopamine antagonists: 1. Phenothiazines- prochlorperazine, 2. Benzamides: 
Metoclopromide.  3. Butyrophenons-haloperidol. 
• Glucocorticoids: active in early and delayed nausea. 
• Anti-histamines: Promethazine. 
• Benzodiazepins: Lorazepam (useful for anticipatory emesis).",593
medical_oncology_handbook_june_2020_edition.pdf_36,medical_oncology_handbook_june_2020_edition.pdf,"18 
 
High emetogenic drugs and anthracycline containing regimens for breast 
cancer3  
• NK1 inhibitors: eg Emend (Aprepitant) 
Day 1: 165 mg pre chemotherapy with no subsequent doses. 
Plus 
• 5HT3 antagonists: eg Aloxi (Palonosetron) 250 mcg IV on Day 1 only or 
Ondansetron 8mg twice daily for 2-3 days starting the night of chemotherapy. 
Plus 
• Dexamethasone 
8-12 mg IV pre-chemo and 8mg oral mane for 2-3 days. 
NB- for patients who experience sudden decline in well-being when steroids are 
stopped, a weaning off regimen might be useful. 
• Metoclopramide 
10 mg Q6H PRN. 
NB: 5HT antagonists can be constipating  - so warn patients about prevention of 
constipation. No need to prescribe take-home 5HT antagonists after Palonosetron. 
Moderately emetogenic drugs or combination of drugs: 
• 5HT3 antagonist: eg Aloxi (Palonosetron) 250 mcg IV on day 1Plus. 
• Dexamethasone 8 mg IV pre-chemo and 8mg oral mane 2-3 days.",931
medical_oncology_handbook_june_2020_edition.pdf_37,medical_oncology_handbook_june_2020_edition.pdf,"• Dexamethasone 8 mg IV pre-chemo and 8mg oral mane 2-3 days. 
NK1 inhibitors  can be added to the above regimen if the patients experience 
nausea & vomiting after moderately emetogenic chemotherapy.  
Mildly emetogenic drugs: 
Usually premedication with metoclopramide 10 mg Q6H PRN would be adequate. 
If nausea is not controlled, we may have to treat it like moderate drugs after 
excluding other causes of nausea such as gastroesophageal reflux and 
ulcers/gastritis. 
If nausea persists, consider other causes. 
Addition of lorazepam 1 mg Q6H PRN may be useful especially for anxious 
patients. 
 
3 Roila, F., J. Herrstedt, et al. (2010). ""Guideline update for MASCC and ESMO in 
the prevention of chemotherapy - and radiotherapy-induced nausea and vomiting: 
results of the Perugia consensus conference."" Annals of Oncology 21 Suppl 5: v232-
243.",854
medical_oncology_handbook_june_2020_edition.pdf_38,medical_oncology_handbook_june_2020_edition.pdf,"19 
 
PRINCIPLES OF TARGETED THERAPY  
  
 
If we use analogy of pesticides : empiric chemotherapy would be “Raid” while targeted 
therapy is “Roach Hotel”.   
Dr David Gandara 
It is like using a “smart” bomb versus a “cluster” bomb. 
Dr Nevin Murray 
 
The figure below depicts typical targets for anti-cancer drugs which could be pathways, 
processes and physiology which are uniquely disrupted in cancer cells: receptors, genes, 
angiogenesis, tumour pH etc.",462
medical_oncology_handbook_june_2020_edition.pdf_39,medical_oncology_handbook_june_2020_edition.pdf,"20 
 
 
Table 1 below depicts some targets and commonly available anti-cancer drugs in common 
solid tumours. 
 
Table 1 Targets and examples of treatments for common solid tumours. 
Disease Target Treatment 
Adenocarcinoma of lung EGFR exon 9, 11 mutation Erlotinib, Gefitinib, Afatinib 
 T 790M Osemertinib 
 ALK-EML4 fusion gene Crizotinib/Alectinib 
Melanoma BRAF Dabrafenib, Vemurafinib 
 MEK Mekinist 
Colon Cancer RAS Cetuximab, Panitimumab 
Breast Cancer Her 2 neu amplification Trastuzumab, Pertuzumab, 
Lapatinib 
 ER and PR Tamoxifen, Aromatase 
Inhibitors 
Prostate Cancer AR receptor Enzalutamide, Abiraterone 
GIST CD 117 (c-kit) Imatinib Mesylate",661
medical_oncology_handbook_june_2020_edition.pdf_40,medical_oncology_handbook_june_2020_edition.pdf,"21 
 
PRINCIPLES OF CANCER IMMUNOTHERAPY 
 
 
 
(CTLA4 outcompetes CD28 for CD80 and CD86, and the costimulatory signal ceases as 
the target is eliminated, reducing the release of pro -effector cytokines such as IL-12 and 
cytotoxic enzymes such as perforin and granzyme B. Homeostasis is restored.) 
 
In a state of chronic antigen presentation, such as malignancy, the chronic presence of 
antigen or pro -inflammatory cytokines (IL -12, IFN  gamma, etc) can upregulate PD -1 
expression on the T cell; tumour clones can also select for PD-L1 expression. With PD-
1-PD-L1 binding, even in the presence of the costimulatory molecule, ""peripheral 
exhaustion"" can occur. 
 
 
 
 
The anti-CTLA-4 antibody, ipilimumab was the first immune checkpoint inhibitor to be 
approved based upon its ability to prolong survival in patients with metastatic melanoma. 
Programmed cell death 1 (PD -1) is a trans -membrane protein expressed on T cells, B",942
medical_oncology_handbook_june_2020_edition.pdf_41,medical_oncology_handbook_june_2020_edition.pdf,"Programmed cell death 1 (PD -1) is a trans -membrane protein expressed on T cells, B 
cells, and NK cells . It is an inhibitory molecule that binds to PD -ligand 1 (PD-L1; also 
known as B7 -H1) and PD -L2 (B7-H2). PD-L1 is expressed on the surface of multiple 
tissue types, including many tumour cells, as well as hematopoietic cells; The IgG4 
subclass PD -1 inhibiti ng antibodies  like nivolumab and pembrolizumab prolonged 
overall survival in randomized trials in various cancers, including metastatic melanoma,",518
medical_oncology_handbook_june_2020_edition.pdf_42,medical_oncology_handbook_june_2020_edition.pdf,"22 
 
clear cell renal carcinoma, bladder cancer, head and neck cancer and non-small cell lung 
cancer.  
Immune Response Criteria : The patt erns of response to treatment with these 
immunotherapy agents differ from those with molecularly -targeted agents or cytotoxic 
chemotherapy in several important respects. 
Toxicities associated with checkpoint inhibitor immunotherapy 
Checkpoint inhibition is  associated with a unique spectrum of side effects termed 
immune-related adverse events (irAEs) or, occasionally, adv erse events of special 
interest. IrAEs include dermatologic, gastrointestinal, hepatic, endocrine, and other less 
common inflammatory events4. 
In general, treatment of moderate or severe irAEs requires interruption of the checkpoint 
inhibitor and the use of corticosteroid immunosuppression. Treatment is based upon the 
severity of the observed toxicity: 
• For patients with grade 2 (moderate) immune-mediated toxicities, treatment",960
medical_oncology_handbook_june_2020_edition.pdf_43,medical_oncology_handbook_june_2020_edition.pdf,"• For patients with grade 2 (moderate) immune-mediated toxicities, treatment 
with the checkpoint inhibitor should be withheld and should not be resumed 
until symptoms or toxicity is grade 1 or less. Corticosteroids should be started 
if symptoms do not resolve quickly. 
• For patients experiencing grade 3 or 4 (severe or life-threatening) immune-
mediated toxicities, treatment with the checkpoint inhibitor should be 
permanently discontinued. High doses of corticosteroids (prednisone 1 to 2 
mg/kg/day or equivalent) should be given. When symptoms subside to grade 
1 or less, steroids can be gradually tapered over at least one month. 
• Patients who will benefit from corticosteroids generally do so within days. If 
symptoms do not clearly improve, particularly after approximately three days 
with intravenous steroids, our approach is to administer infliximab (5 mg/kg) 
rather than continue with a prolonged course of high-dose IV corticosteroids.",960
medical_oncology_handbook_june_2020_edition.pdf_44,medical_oncology_handbook_june_2020_edition.pdf,"rather than continue with a prolonged course of high-dose IV corticosteroids. 
If symptoms persist after the first infliximab dose, a second dose of 
infliximab (5 mg/kg) can be repeated two weeks after the initial dose. 
 
 
Detailed management of various toxicities is covered by Cancer Institute of NSW’s 
eviQ:Cancer Treatments Online site. Free registration is required for login.
 
4 Naidoo J et al.(2015) Toxicities of the anti-PD-1 and anti-PD-L1 immune checkpoint 
antibodies. Annals of Oncology 2015;26(12):2375",521
medical_oncology_handbook_june_2020_edition.pdf_45,medical_oncology_handbook_june_2020_edition.pdf,"23 
 
Common side effects of oncology medications 
 Myelosuppression Mucositis Enteritis Alopecia Cardiac Renal Neuropathy Liver Rash Lung 
Anthracyclines ++ +  ++ +   +   
Capecitabine + ++ ++  angina    +HFS  
Carboplatin ++      +    
Cisplatin +     ++ ++    
Cyclophosphamide +   +  +  +   
5FU  ++ ++  angina    +  
Gemcitabine +  +       + 
Irinotecan +  ++ +    +   
Oxaliplatin  + + +    ++    
Paclitaxel +   ++   ++    
Docetaxel +  + ++   ++ + +  
Permetexed +  +        
 
Examples of Monoclonal antibodies and small molecules 
 Infusion reactions cardiac rash thyroid Proteinuria diarrhea Hypertension 
Trastuzumab + 
+ 
+ 
+      
Bevaczuzumab    +  ++ 
Cetuximab/panitumab  ++     
Sunitinib  ++ + + + +",719
medical_oncology_handbook_june_2020_edition.pdf_46,medical_oncology_handbook_june_2020_edition.pdf,"24 
 
FEBRILE NEUTROPENIA 
Neutropenic Fever 5 6 
It is a medical emergency. It is the responsibility of the MO to ensure prompt 
antibiotic administration. 
With diarrhoea and neutropenia, even if afebrile, it is advisable to use the 
same protocol. 
Definitions 
• A single oral temperature of 38.3 C.  
• A temperature ≥ 38 C on two occasions over 1 hour. 
• ANC ≤ 500 or less ≤ 1000/µl with predicted rapid decline to less than 500/µl. 
Septic Work-Up 
• Physical examination. 
• Blood cultures x 2 sets (venipuncture and indwelling venous catheter if 
present), urine C&S, cultures from any suspected sites, CXR). 
Treatment of Neutropenic Fever 7 
Antibiotics (early involvement of anti -microbial stewardship service is  
beneficial). 
• Anti pseudomonal penicillins (Piperacillin/tazobactam & Ticarcillin) and 
cephalosporins (Cefepime) are used as single agents.  
In patients with hypersensitivity to penicillins, seek expert advice.   
Modifications",960
medical_oncology_handbook_june_2020_edition.pdf_47,medical_oncology_handbook_june_2020_edition.pdf,"In patients with hypersensitivity to penicillins, seek expert advice.   
Modifications 
• Aminoglycosides may be added if patient is unstable to cover resistant 
pseudomonal bacteremia. 
 
5 Freifeld, A. G., E. J. Bow, et al. (2011). ""Clinical practice guideline for the use of 
antimicrobial agents in neutropenic  patients with cancer: 2010 Update by the 
Infectious Diseases Society of America."" Clinical Infectious Diseases 52(4): 427 -
431. 
6 National Comprehensive Cancer Network (NCCN) Clinical Practice Guidelines in 
Oncology, Prevention and treatment of cancer-related infections, Version 2.2011. 
www.nccn.org . 
7 Therapeutic guidelines. online-tg-org-au.cknservices.dotsec.com",690
medical_oncology_handbook_june_2020_edition.pdf_48,medical_oncology_handbook_june_2020_edition.pdf,"25 
 
• Add Vancomycin if clinically unstable, gram positive blood cultures before 
antibiotics, severe mucositis present, already on Quinolone prophylaxis, a 
catheter associated cellulitis or tunnel infection, past history, high prevalence 
or carrier of Methicillin-resistant staph aureus. 
• Metronidazole for abdominal symptoms or suspected C. difficile infection. 
• Persistent neutropenic fever on D5 – add antifungal therapy (Amphotericin B 
0.5mg/kg/day or Fluconazole 400mg/day). 
Discuss with consultants first. 
Duration of Antibiotics (variable) 
• Low risk patient (clinically well, stable signs, no mucositis, ANC >100/µL, 
rising ANC, afebrile within 2-3 days of starting antibiotics, negative cultures) 
consider early discharge on oral Ciprofloxacin and Augmentin for 5 days or 
cease antibiotics altogether when ANC >500/µL. 
• High risk patients, who become afebrile within 3 days, should continue",917
medical_oncology_handbook_june_2020_edition.pdf_49,medical_oncology_handbook_june_2020_edition.pdf,"• High risk patients, who become afebrile within 3 days, should continue 
parenteral antibiotics, targeted to the specific pathogen, until resolution of 
neutropenia.  
• Specific pathogens need to be treated according to therapeutic guidelines 
while continuing broad coverage.",278
medical_oncology_handbook_june_2020_edition.pdf_50,medical_oncology_handbook_june_2020_edition.pdf,"26 
 
Patients with any of the following characteristics are considered to be at 
high risk for serious complications during episodes of neutropenic fever 
• Neutropenia (absolute neutrophil count <500 cells/microL) anticipated to last 
>7 days*  
Presence of any comorbid medical problems, including, but not limited to: 
• Hemodynamic instability  
• Oral or gastrointestinal mucositis that interferes with swallowing or causes 
severe diarrhoea  
• Gastrointestinal symptoms, including abdominal pain, nausea and vomiting, 
or diarrhoea  
• Neurologic or mental status changes of new onset  
• Intravascular catheter infection, especially catheter tunnel infection  
• New pulmonary infiltrate or hypoxemia  
• Underlying chronic lung disease  
• Complex infection at the time of presentation: 
Inpatient status at the time of development of fever 
Uncontrolled or progressive cancer 
Evidence of hepatic insufficiency (defined as aminotransferase levels >5 times",966
medical_oncology_handbook_june_2020_edition.pdf_51,medical_oncology_handbook_june_2020_edition.pdf,"Evidence of hepatic insufficiency (defined as aminotransferase levels >5 times 
normal values) or renal insufficiency (defined as a creatinine clearance of <30 
mL/min) 
Multinational Association for Supportive Care in Cancer (MASCC) risk index 
score <21",255
medical_oncology_handbook_june_2020_edition.pdf_52,medical_oncology_handbook_june_2020_edition.pdf,"27 
 
Guide to Febrile Neutropenia 
 
 
 
Colony stimulating factors (GCSF) are generally not recommended in management of 
febrile neutropaenia, with some exceptions.",167
medical_oncology_handbook_june_2020_edition.pdf_53,medical_oncology_handbook_june_2020_edition.pdf,"28 
 
Catheter-related infections 
Catheter removal is recommended in addition to antibiotic therapy for at least 14 days. 
But, if the infection is caused by coagulase -negative staphylococci and is important to 
save the line, catheter could be retained using systemic antibiotics. 
Extravasation of Chemotherapy Drugs 8 
If it d oes occur, proper documentation should include the time, site of line insertion, 
needle size, estimated amount of extravasated medication, technique used to manage the 
extravasation, appearance of site, photograph, patient ’s comments, and notification of 
physician. 
Management 
 
Stop infusion.  Before removing cannula attempt to aspirate some of extravasated fluid.  
If antidote exists give it both IV through cannula and by SC infiltration see Table 2 below. 
 
Intermittent local cooling is recommended, except for vinca alkaloids (warming packs).  
Rest and elevate the affected site for 48 hours.  Telephone contact daily and assess need",981
medical_oncology_handbook_june_2020_edition.pdf_54,medical_oncology_handbook_june_2020_edition.pdf,"Rest and elevate the affected site for 48 hours.  Telephone contact daily and assess need 
for plastic surgery. 
 
Day unit nurses have protocols for managing extravasatio n and their input will be 
important for developing management plans. 
 
8 Albanell, Joan, and Jose Baselga. ""Systemic therapy emergencies."" Seminars in 
oncology. Vol. 27. No. 3. 2000.",357
medical_oncology_handbook_june_2020_edition.pdf_55,medical_oncology_handbook_june_2020_edition.pdf,"29 
 
Table 2 Example of Antidotes for Vesicant and Irritant Drugs 
 
Chemotherapy 
agent 
Pharmacologic 
antidote 
Nonpharmacologic 
Antidote 
Method of 
Administration 
• Mechlorethamine 
(nitrogen 
mustard) 
• Cisplatin  
(large 
extravasation) 
Sodium 
thiosulfate 
None Prepare 1/6 molar solution: if 
10%Na thiosulfate solution, 
mix 4 mL with 6 mL sterile 
water for injection. 
Through existing IV line, 
inject 2 mL for every 1 mg 
extravasated.  Inject SC if 
needle is removed. 
• Vincristine 
• Vinblastine 
• Vindesine 
• Etoposide 
• Vinorelbine 
Hyaluronidase Warm packs. 15-20 
minutes at least 
four times/day for 
the first 24-48 
hours and elevate 
Prepare hyaluronidase, 150 
units/mL with 1-3 mL saline.  
Inject through existing IV 
line, 1 mL for each 1 mL 
infiltrated.  Inject SC if needle 
is removed. 
• Doxorubicin 
(Adriamycin) 
• Daunorubicin 
• Idarubicin 
• Mitomycin C 
DMSO Ice packs Apply cold pad with 
circulating ice water pack or 
cryogel pack for 15-20",992
medical_oncology_handbook_june_2020_edition.pdf_56,medical_oncology_handbook_june_2020_edition.pdf,"DMSO Ice packs Apply cold pad with 
circulating ice water pack or 
cryogel pack for 15-20 
minutes at least four times/day 
for first 24-48 hours.  Some 
benefit of 99% dimethyl 
sulfoxide (DMSO) 1-2 mL 
applied to site every 6 hours. 
• Paclitaxel 
• Docetaxel 
Hyaluronidase Ice packs As for Vinca alkaloids. 
• Mechlorethamine 
(nitrogen 
mustard) 
• Cisplatin 
(large 
extravasation) 
Sodium 
thiosulfate 
None Prepare 1/6 molar solution: if 
10%Na thiosulfate solution, 
mix 4 mL with 6 mL sterile 
water for injection. 
Through existing IV line, 
inject 2 mL for every 1 mg 
extravasated.  Inject SC if 
needle is removed. 
• Paclitaxel 
• Docetaxel 
Hyaluronidase Ice packs As for Vinca alkaloids.",704
medical_oncology_handbook_june_2020_edition.pdf_57,medical_oncology_handbook_june_2020_edition.pdf,"30 
 
PREMEDICATIONS TO PREVENT ALLERGIC REACTIONS 
Paclitaxel Premedications 
• Recommended schedule: 
Dexamethasone 20 mg oral, 12 hours and 6 hours before Paclitaxel (in practice 
the night before and the morning of treatment). 
Promethazine 25 mg IV 30-60 minutes before therapy. 
Ranitidine 50 mg IV 30-60 minutes before therapy. 
Additional Dexamethasone IV as antiemetic depending if Paclitaxel given alone 
(4mg IV) or in combination with other drugs. 
 
• Modified regimen (in cases where the patient forgets to take premedication, 
or 2nd and subsequent cycles where no hypersensitivity reaction occurred 
with 1st treatment and steroids are not appropriate). 9 10 11 
o Dexamethasone IV 20 mg 30 minutes before Paclitaxel. 
o Promethazine IV 25 mg IV 30-60 minutes before therapy. 
o Ranitidine 50 mg IV 30-60 minutes before therapy. 
 
• Modified schedule for weekly regimen (where steroids are not appropriate): 
o  1st Treatment  
▪  Dexamethasone 12 mg IV.",971
medical_oncology_handbook_june_2020_edition.pdf_58,medical_oncology_handbook_june_2020_edition.pdf,"o  1st Treatment  
▪  Dexamethasone 12 mg IV. 
▪ Promethazine 25mg IV. 
▪ Ranitidine 50mg IV. 
If no hypersensitivity reaction, subsequent treatments may be given without 
premedications.12 
Docetaxel Premedications13 
• Recommended schedule for 3 weekly regimen. 14 
Dexamethasone 8mg BD oral x 6 doses (starting night before treatment). 
 
9 Product Information, 2001 
10 Markman M. J Clin Oncol 15(12): 3517, 1997 
11 Kintzel PE. Ann Pharmacother 35:1114-7, 2001 
12 Quock J. Proc ASCO 18 abstr 635, 1999 
13 Product Information, 2001 
14 Jackisch C. Proc ASCO 19 abstr 417, 2000",582
medical_oncology_handbook_june_2020_edition.pdf_59,medical_oncology_handbook_june_2020_edition.pdf,"31 
 
Additional Dexamethasone IV as antiemetic depending if Docetaxel used alone 
(4mg IV) or in combination with other drugs. 
• Schedule for weekly regimen: 
Dexamethasone 8mg oral BD x 3 doses (starting night before treatment). 
Monoclonal Antibodies 
• Trastuzumab (Herceptin) may cause fever and chills, chest tightness and 
tachycardia with 1st infusion. 
• Rituximab (Mabthera) may cause asthenia, chills, bronchospasm, 
hypotension, angioedema.  Premedicate with Paracetamol 1 g QID, 
Promethazine 25 mg IV and Hydrocortisone 200 mg IV 30-60 minutes prior 
to drug. 
• Cetuximab requires phenergan 12.5mg or 25 mg prior to infusion.",641
