"Provider","PotentialFraud"
"PRV52700","No"
"PRV52701","No"
"PRV52702","No"
"PRV52703","No"
"PRV52704","No"
"PRV52706","No"
"PRV52708","No"
"PRV52709","No"
"PRV52710","No"
"PRV52711","No"
"PRV52713","No"
"PRV52714","No"
"PRV52715","No"
"PRV52717","No"
"PRV52719","No"
"PRV52720","No"
"PRV52721","No"
"PRV52722","No"
"PRV52723","No"
"PRV52724","No"
"PRV52725","No"
"PRV52726","No"
"PRV52727","No"
"PRV52728","No"
"PRV52729","No"
"PRV52731","No"
"PRV52732","No"
"PRV52733","No"
"PRV52736","No"
"PRV52738","No"
"PRV52739","No"
"PRV52740","No"
"PRV52741","No"
"PRV52742","No"
"PRV52743","No"
"PRV52744","No"
"PRV52745","No"
"PRV52746","No"
"PRV52747","No"
"PRV52748","No"
"PRV52750","No"
"PRV52751","No"
"PRV52752","No"
"PRV52753","No"
"PRV52754","No"
"PRV52755","No"
"PRV52756","No"
"PRV52757","No"
"PRV52758","No"
"PRV52760","No"
"PRV52761","No"
"PRV52763","No"
"PRV52764","No"
"PRV52766","No"
"PRV52767","No"
"PRV52768","No"
"PRV52769","No"
"PRV52770","No"
"PRV52771","No"
"PRV52772","No"
"PRV52773","No"
"PRV52774","No"
"PRV52775","No"
"PRV52777","No"
"PRV52778","No"
"PRV52781","No"
"PRV52782","No"
"PRV52783","No"
"PRV52784","No"
"PRV52785","No"
"PRV52786","No"
"PRV52787","No"
"PRV52788","No"
"PRV52789","No"
"PRV52790","No"
"PRV52791","No"
"PRV52792","No"
"PRV52793","No"
"PRV52794","No"
"PRV52795","No"
"PRV52796","No"
"PRV52797","No"
"PRV52798","No"
"PRV52799","No"
"PRV52800","No"
"PRV52801","No"
"PRV52803","No"
"PRV52804","No"
"PRV52806","No"
"PRV52807","No"
"PRV52808","No"
"PRV52810","No"
"PRV52813","No"
"PRV52814","No"
"PRV52815","Yes"
"PRV52816","No"
"PRV52818","No"
"PRV52820","No"
"PRV52821","Yes"
"PRV52822","No"
"PRV52823","No"
"PRV52824","No"
"PRV52825","No"
"PRV52826","Yes"
"PRV52827","No"
"PRV52828","Yes"
"PRV52829","No"
"PRV52830","No"
"PRV52831","No"
"PRV52832","No"
"PRV52833","No"
"PRV52835","No"
"PRV52836","No"
"PRV52837","No"
"PRV52838","No"
"PRV52839","No"
"PRV52841","No"
"PRV52842","No"
"PRV52843","Yes"
"PRV52844","No"
"PRV52845","No"
"PRV52846","Yes"
"PRV52847","Yes"
"PRV52848","No"
"PRV52849","No"
"PRV52850","No"
"PRV52851","No"
"PRV52853","No"
"PRV52855","No"
"PRV52857","No"
"PRV52858","No"
"PRV52859","No"
"PRV52860","Yes"
"PRV52861","No"
"PRV52862","No"
"PRV52863","No"
"PRV52864","No"
"PRV52865","No"
"PRV52868","Yes"
"PRV52869","No"
"PRV52870","Yes"
"PRV52872","No"
"PRV52873","No"
"PRV52875","No"
"PRV52876","No"
"PRV52877","No"
"PRV52878","No"
"PRV52879","No"
"PRV52880","No"
"PRV52881","No"
"PRV52882","No"
"PRV52884","Yes"
"PRV52886","No"
"PRV52887","Yes"
"PRV52889","No"
"PRV52890","No"
"PRV52891","No"
"PRV52892","No"
"PRV52893","No"
"PRV52895","No"
"PRV52896","No"
"PRV52897","No"
"PRV52898","No"
"PRV52899","No"
"PRV52901","No"
"PRV52902","No"
"PRV52903","Yes"
"PRV52904","No"
"PRV52905","No"
"PRV52907","No"
"PRV52910","No"
"PRV52911","No"
"PRV52912","No"
"PRV52913","No"
"PRV52914","No"
"PRV52916","No"
"PRV52917","No"
"PRV52918","No"
"PRV52919","No"
"PRV52920","No"
"PRV52921","No"
"PRV52922","No"
"PRV52924","No"
"PRV52925","No"
"PRV52926","No"
"PRV52928","No"
"PRV52929","No"
"PRV52930","No"
"PRV52931","No"
"PRV52932","No"
"PRV52933","Yes"
"PRV52934","No"
"PRV52935","No"
"PRV52936","No"
"PRV52937","No"
"PRV52938","No"
"PRV52940","No"
"PRV52941","No"
"PRV52942","No"
"PRV52943","No"
"PRV52944","No"
"PRV52945","No"
"PRV52948","No"
"PRV52949","No"
"PRV52950","No"
"PRV52951","No"
"PRV52952","No"
"PRV52953","No"
"PRV52954","No"
"PRV52955","No"
"PRV52956","No"
"PRV52957","No"
"PRV52958","No"
"PRV52961","No"
"PRV52962","No"
"PRV52963","No"
"PRV52964","No"
"PRV52966","No"
"PRV52970","No"
"PRV52971","No"
"PRV52972","No"
"PRV52976","No"
"PRV52978","No"
"PRV52979","No"
"PRV52980","No"
"PRV52981","No"
"PRV52982","Yes"
"PRV52985","Yes"
"PRV52986","No"
"PRV52988","No"
"PRV52989","Yes"
"PRV52990","Yes"
"PRV52991","No"
"PRV52993","No"
"PRV52996","No"
"PRV52998","No"
"PRV52999","No"
"PRV53000","No"
"PRV53001","No"
"PRV53002","No"
"PRV53004","No"
"PRV53005","Yes"
"PRV53007","Yes"
"PRV53008","Yes"
"PRV53009","No"
"PRV53013","No"
"PRV53014","No"
"PRV53015","No"
"PRV53016","No"
"PRV53017","No"
"PRV53018","No"
"PRV53019","No"
"PRV53020","No"
"PRV53021","Yes"
"PRV53024","No"
"PRV53025","No"
"PRV53026","No"
"PRV53027","No"
"PRV53028","No"
"PRV53029","No"
"PRV53031","No"
"PRV53032","No"
"PRV53033","No"
"PRV53034","No"
"PRV53035","No"
"PRV53036","No"
"PRV53037","No"
"PRV53038","No"
"PRV53040","No"
"PRV53042","No"
"PRV53043","No"
"PRV53044","No"
"PRV53045","No"
"PRV53047","No"
"PRV53048","No"
"PRV53049","No"
"PRV53050","No"
"PRV53052","No"
"PRV53054","No"
"PRV53055","No"
"PRV53056","No"
"PRV53057","No"
"PRV53059","No"
"PRV53061","No"
"PRV53062","No"
"PRV53063","No"
"PRV53064","No"
"PRV53065","No"
"PRV53066","No"
"PRV53067","No"
"PRV53069","No"
"PRV53070","No"
"PRV53071","No"
"PRV53072","No"
"PRV53073","No"
"PRV53074","No"
"PRV53075","No"
"PRV53076","No"
"PRV53077","No"
"PRV53078","No"
"PRV53079","No"
"PRV53081","No"
"PRV53083","No"
"PRV53084","No"
"PRV53085","No"
"PRV53086","No"
"PRV53087","No"
"PRV53090","No"
"PRV53091","No"
"PRV53095","No"
"PRV53096","No"
"PRV53099","No"
"PRV53100","No"
"PRV53101","No"
"PRV53102","No"
"PRV53103","No"
"PRV53104","No"
"PRV53106","Yes"
"PRV53107","No"
"PRV53108","No"
"PRV53109","No"
"PRV53110","No"
"PRV53111","No"
"PRV53113","No"
"PRV53114","Yes"
"PRV53116","No"
"PRV53117","No"
"PRV53119","Yes"
"PRV53120","No"
"PRV53121","Yes"
"PRV53122","No"
"PRV53123","No"
"PRV53124","No"
"PRV53125","No"
"PRV53126","No"
"PRV53127","No"
"PRV53128","No"
"PRV53129","No"
"PRV53131","No"
"PRV53133","No"
"PRV53134","No"
"PRV53135","No"
"PRV53136","Yes"
"PRV53137","No"
"PRV53138","No"
"PRV53139","No"
"PRV53140","No"
"PRV53141","No"
"PRV53142","Yes"
"PRV53143","No"
"PRV53144","No"
"PRV53145","No"
"PRV53147","No"
"PRV53148","No"
"PRV53149","No"
"PRV53150","No"
"PRV53151","No"
"PRV53153","No"
"PRV53154","No"
"PRV53156","No"
"PRV53157","No"
"PRV53158","No"
"PRV53159","No"
"PRV53161","No"
"PRV53162","No"
"PRV53163","No"
"PRV53164","No"
"PRV53166","No"
"PRV53167","No"
"PRV53168","No"
"PRV53169","No"
"PRV53171","No"
"PRV53172","No"
"PRV53173","No"
"PRV53174","No"
"PRV53175","No"
"PRV53176","No"
"PRV53177","No"
"PRV53178","No"
"PRV53179","No"
"PRV53180","No"
"PRV53182","No"
"PRV53183","No"
"PRV53186","No"
"PRV53187","No"
"PRV53188","No"
"PRV53189","No"
"PRV53191","No"
"PRV53192","No"
"PRV53194","No"
"PRV53196","No"
"PRV53197","No"
"PRV53198","No"
"PRV53201","No"
"PRV53202","No"
"PRV53203","No"
"PRV53204","No"
"PRV53205","No"
"PRV53206","No"
"PRV53207","No"
"PRV53208","Yes"
"PRV53210","No"
"PRV53211","No"
"PRV53212","No"
"PRV53213","No"
"PRV53214","No"
"PRV53215","No"
"PRV53216","No"
"PRV53217","No"
"PRV53218","No"
"PRV53220","No"
"PRV53221","No"
"PRV53222","No"
"PRV53223","No"
"PRV53224","No"
"PRV53225","No"
"PRV53226","No"
"PRV53227","No"
"PRV53228","No"
"PRV53229","No"
"PRV53230","No"
"PRV53232","No"
"PRV53233","No"
"PRV53235","No"
"PRV53236","No"
"PRV53237","No"
"PRV53238","No"
"PRV53239","No"
"PRV53240","No"
"PRV53242","Yes"
"PRV53243","No"
"PRV53244","No"
"PRV53245","Yes"
"PRV53246","No"
"PRV53247","No"
"PRV53248","No"
"PRV53249","No"
"PRV53251","No"
"PRV53252","No"
"PRV53253","No"
"PRV53254","No"
"PRV53255","No"
"PRV53256","No"
"PRV53257","No"
"PRV53258","No"
"PRV53259","No"
"PRV53260","No"
"PRV53261","No"
"PRV53262","No"
"PRV53265","Yes"
"PRV53266","Yes"
"PRV53268","No"
"PRV53269","Yes"
"PRV53272","No"
"PRV53274","No"
"PRV53276","No"
"PRV53277","Yes"
"PRV53279","No"
"PRV53280","No"
"PRV53281","No"
"PRV53282","No"
"PRV53283","No"
"PRV53284","No"
"PRV53288","No"
"PRV53289","No"
"PRV53290","No"
"PRV53291","No"
"PRV53292","No"
"PRV53293","No"
"PRV53294","No"
"PRV53295","Yes"
"PRV53296","No"
"PRV53297","Yes"
"PRV53298","No"
"PRV53300","No"
"PRV53301","No"
"PRV53303","No"
"PRV53304","No"
"PRV53305","No"
"PRV53306","No"
"PRV53307","No"
"PRV53308","No"
"PRV53309","No"
"PRV53310","No"
"PRV53312","No"
"PRV53313","No"
"PRV53314","No"
"PRV53315","No"
"PRV53317","No"
"PRV53318","No"
"PRV53319","No"
"PRV53320","No"
"PRV53321","No"
"PRV53323","No"
"PRV53325","No"
"PRV53326","No"
"PRV53329","No"
"PRV53331","No"
"PRV53334","No"
"PRV53335","No"
"PRV53336","No"
"PRV53337","No"
"PRV53339","No"
"PRV53340","No"
"PRV53341","No"
"PRV53342","No"
"PRV53343","No"
"PRV53344","No"
"PRV53346","No"
"PRV53347","No"
"PRV53349","No"
"PRV53350","No"
"PRV53351","No"
"PRV53352","No"
"PRV53353","No"
"PRV53354","No"
"PRV53355","No"
"PRV53356","No"
"PRV53357","No"
"PRV53358","No"
"PRV53359","No"
"PRV53360","No"
"PRV53361","No"
"PRV53362","No"
"PRV53363","No"
"PRV53364","No"
"PRV53365","No"
"PRV53369","No"
"PRV53370","No"
"PRV53371","No"
"PRV53373","No"
"PRV53374","No"
"PRV53375","No"
"PRV53376","No"
"PRV53377","No"
"PRV53378","No"
"PRV53379","Yes"
"PRV53380","No"
"PRV53381","No"
"PRV53382","No"
"PRV53383","No"
"PRV53384","Yes"
"PRV53385","Yes"
"PRV53386","No"
"PRV53387","No"
"PRV53388","No"
"PRV53389","No"
"PRV53390","No"
"PRV53391","No"
"PRV53392","No"
"PRV53393","No"
"PRV53394","No"
"PRV53396","No"
"PRV53397","Yes"
"PRV53398","No"
"PRV53399","Yes"
"PRV53401","Yes"
"PRV53402","No"
"PRV53403","No"
"PRV53405","No"
"PRV53407","No"
"PRV53408","No"
"PRV53409","No"
"PRV53411","No"
"PRV53412","No"
"PRV53413","No"
"PRV53415","No"
"PRV53416","No"
"PRV53417","Yes"
"PRV53419","No"
"PRV53421","Yes"
"PRV53423","No"
"PRV53424","No"
"PRV53426","No"
"PRV53427","No"
"PRV53428","No"
"PRV53429","No"
"PRV53431","No"
"PRV53432","No"
"PRV53433","No"
"PRV53435","No"
"PRV53436","No"
"PRV53437","No"
"PRV53438","No"
"PRV53439","No"
"PRV53440","No"
"PRV53441","No"
"PRV53442","No"
"PRV53443","No"
"PRV53444","No"
"PRV53445","No"
"PRV53446","No"
"PRV53447","No"
"PRV53448","No"
"PRV53449","No"
"PRV53450","No"
"PRV53451","No"
"PRV53452","No"
"PRV53453","No"
"PRV53454","No"
"PRV53455","No"
"PRV53456","No"
"PRV53457","No"
"PRV53460","No"
"PRV53461","Yes"
"PRV53462","No"
"PRV53463","No"
"PRV53465","No"
"PRV53467","No"
"PRV53469","No"
"PRV53470","No"
"PRV53471","No"
"PRV53472","No"
"PRV53473","No"
"PRV53474","No"
"PRV53475","No"
"PRV53476","No"
"PRV53477","No"
"PRV53478","No"
"PRV53479","No"
"PRV53480","No"
"PRV53482","No"
"PRV53483","No"
"PRV53484","No"
"PRV53485","No"
"PRV53486","No"
"PRV53487","No"
"PRV53489","No"
"PRV53490","No"
"PRV53491","No"
"PRV53492","No"
"PRV53494","No"
"PRV53495","No"
"PRV53496","No"
"PRV53498","No"
"PRV53499","No"
"PRV53501","No"
"PRV53502","No"
"PRV53503","No"
"PRV53504","No"
"PRV53506","No"
"PRV53507","No"
"PRV53509","No"
"PRV53510","No"
"PRV53511","No"
"PRV53513","No"
"PRV53515","No"
"PRV53516","No"
"PRV53517","No"
"PRV53519","No"
"PRV53520","No"
"PRV53521","No"
"PRV53522","No"
"PRV53523","No"
"PRV53524","No"
"PRV53525","No"
"PRV53526","No"
"PRV53527","No"
"PRV53530","No"
"PRV53531","No"
"PRV53532","No"
"PRV53533","No"
"PRV53534","No"
"PRV53535","No"
"PRV53536","No"
"PRV53539","No"
"PRV53540","No"
"PRV53544","No"
"PRV53545","No"
"PRV53547","No"
"PRV53548","No"
"PRV53549","No"
"PRV53550","No"
"PRV53551","No"
"PRV53553","No"
"PRV53554","No"
"PRV53555","No"
"PRV53556","No"
"PRV53558","No"
"PRV53559","No"
"PRV53560","No"
"PRV53561","No"
"PRV53562","No"
"PRV53563","No"
"PRV53564","No"
"PRV53565","No"
"PRV53566","No"
"PRV53568","No"
"PRV53569","No"
"PRV53570","No"
"PRV53571","No"
"PRV53572","No"
"PRV53573","No"
"PRV53574","No"
"PRV53577","No"
"PRV53578","No"
"PRV53581","No"
"PRV53582","No"
"PRV53584","No"
"PRV53585","No"
"PRV53586","No"
"PRV53587","No"
"PRV53588","No"
"PRV53589","No"
"PRV53590","No"
"PRV53591","No"
"PRV53593","No"
"PRV53594","No"
"PRV53595","No"
"PRV53596","No"
"PRV53597","No"
"PRV53598","No"
"PRV53599","No"
"PRV53600","No"
"PRV53601","No"
"PRV53602","No"
"PRV53604","No"
"PRV53605","No"
"PRV53606","No"
"PRV53607","No"
"PRV53608","No"
"PRV53609","No"
"PRV53611","No"
"PRV53612","No"
"PRV53613","No"
"PRV53614","No"
"PRV53616","No"
"PRV53617","No"
"PRV53618","No"
"PRV53619","No"
"PRV53620","No"
"PRV53621","No"
"PRV53622","No"
"PRV53623","Yes"
"PRV53624","No"
"PRV53625","No"
"PRV53626","No"
"PRV53627","No"
"PRV53628","No"
"PRV53629","No"
"PRV53631","No"
"PRV53632","No"
"PRV53633","No"
"PRV53634","No"
"PRV53635","No"
"PRV53638","No"
"PRV53640","No"
"PRV53641","No"
"PRV53642","No"
"PRV53643","No"
"PRV53644","No"
"PRV53645","No"
"PRV53646","No"
"PRV53647","No"
"PRV53648","No"
"PRV53649","No"
"PRV53651","No"
"PRV53652","No"
"PRV53654","No"
"PRV53655","No"
"PRV53656","No"
"PRV53657","No"
"PRV53658","No"
"PRV53659","No"
"PRV53660","No"
"PRV53661","No"
"PRV53662","No"
"PRV53663","No"
"PRV53664","No"
"PRV53665","No"
"PRV53666","No"
"PRV53667","No"
"PRV53668","Yes"
"PRV53669","No"
"PRV53670","Yes"
"PRV53671","Yes"
"PRV53672","No"
"PRV53673","No"
"PRV53674","No"
"PRV53675","No"
"PRV53676","No"
"PRV53677","Yes"
"PRV53678","No"
"PRV53679","No"
"PRV53680","No"
"PRV53681","No"
"PRV53682","No"
"PRV53683","No"
"PRV53684","No"
"PRV53685","No"
"PRV53686","No"
"PRV53688","No"
"PRV53689","No"
"PRV53690","No"
"PRV53692","Yes"
"PRV53694","No"
"PRV53695","No"
"PRV53696","No"
"PRV53697","No"
"PRV53698","No"
"PRV53699","No"
"PRV53700","No"
"PRV53701","No"
"PRV53702","No"
"PRV53703","No"
"PRV53704","No"
"PRV53705","No"
"PRV53706","Yes"
"PRV53708","No"
"PRV53709","No"
"PRV53710","No"
"PRV53712","Yes"
"PRV53713","No"
"PRV53714","No"
"PRV53715","No"
"PRV53716","No"
"PRV53717","No"
"PRV53718","No"
"PRV53719","No"
"PRV53720","No"
"PRV53721","No"
"PRV53722","No"
"PRV53723","No"
"PRV53724","No"
"PRV53725","No"
"PRV53726","No"
"PRV53727","No"
"PRV53728","No"
"PRV53729","No"
"PRV53730","No"
"PRV53731","No"
"PRV53732","No"
"PRV53733","No"
"PRV53734","No"
"PRV53735","No"
"PRV53740","No"
"PRV53741","No"
"PRV53743","No"
"PRV53745","No"
"PRV53746","No"
"PRV53749","Yes"
"PRV53750","No"
"PRV53751","No"
"PRV53752","No"
"PRV53754","No"
"PRV53755","No"
"PRV53756","No"
"PRV53757","No"
"PRV53759","No"
"PRV53761","No"
"PRV53762","Yes"
"PRV53763","Yes"
"PRV53764","No"
"PRV53765","No"
"PRV53766","No"
"PRV53767","No"
"PRV53768","No"
"PRV53769","Yes"
"PRV53770","No"
"PRV53771","No"
"PRV53772","No"
"PRV53773","No"
"PRV53774","No"
"PRV53775","No"
"PRV53776","Yes"
"PRV53779","No"
"PRV53780","No"
"PRV53781","Yes"
"PRV53782","No"
"PRV53783","No"
"PRV53784","No"
"PRV53785","No"
"PRV53786","Yes"
"PRV53787","Yes"
"PRV53788","No"
"PRV53790","Yes"
"PRV53791","No"
"PRV53792","Yes"
"PRV53793","No"
"PRV53794","No"
"PRV53796","No"
"PRV53797","Yes"
"PRV53798","No"
"PRV53799","No"
"PRV53801","No"
"PRV53802","No"
"PRV53805","No"
"PRV53806","No"
"PRV53807","No"
"PRV53808","Yes"
"PRV53812","No"
"PRV53814","No"
"PRV53815","No"
"PRV53816","No"
"PRV53817","No"
"PRV53818","No"
"PRV53819","No"
"PRV53820","No"
"PRV53821","No"
"PRV53824","No"
"PRV53827","No"
"PRV53828","No"
"PRV53829","No"
"PRV53831","No"
"PRV53832","No"
"PRV53835","No"
"PRV53836","No"
"PRV53837","No"
"PRV53838","No"
"PRV53839","No"
"PRV53840","No"
"PRV53841","No"
"PRV53842","No"
"PRV53843","No"
"PRV53844","No"
"PRV53845","No"
"PRV53846","No"
"PRV53848","No"
"PRV53849","No"
"PRV53850","No"
"PRV53851","No"
"PRV53855","Yes"
"PRV53857","No"
"PRV53859","No"
"PRV53860","No"
"PRV53861","No"
"PRV53862","No"
"PRV53864","No"
"PRV53865","No"
"PRV53867","No"
"PRV53868","No"
"PRV53871","No"
"PRV53872","No"
"PRV53873","No"
"PRV53874","No"
"PRV53875","No"
"PRV53876","No"
"PRV53877","No"
"PRV53878","No"
"PRV53879","No"
"PRV53880","No"
"PRV53884","Yes"
"PRV53885","No"
"PRV53887","Yes"
"PRV53888","No"
"PRV53889","No"
"PRV53891","No"
"PRV53892","No"
"PRV53894","Yes"
"PRV53895","Yes"
"PRV53896","No"
"PRV53899","No"
"PRV53900","Yes"
"PRV53901","No"
"PRV53905","No"
"PRV53906","No"
"PRV53907","No"
"PRV53908","No"
"PRV53909","No"
"PRV53910","No"
"PRV53911","Yes"
"PRV53912","No"
"PRV53913","No"
"PRV53915","No"
"PRV53916","No"
"PRV53917","No"
"PRV53918","Yes"
"PRV53919","Yes"
"PRV53920","No"
"PRV53921","No"
"PRV53922","No"
"PRV53923","Yes"
"PRV53924","No"
"PRV53925","No"
"PRV53926","No"
"PRV53927","No"
"PRV53928","No"
"PRV53931","No"
"PRV53932","No"
"PRV53933","No"
"PRV53934","No"
"PRV53935","No"
"PRV53937","Yes"
"PRV53938","Yes"
"PRV53939","No"
"PRV53940","No"
"PRV53941","No"
"PRV53942","No"
"PRV53943","No"
"PRV53944","No"
"PRV53945","No"
"PRV53946","No"
"PRV53947","No"
"PRV53949","No"
"PRV53950","No"
"PRV53951","Yes"
"PRV53952","No"
"PRV53956","No"
"PRV53957","No"
"PRV53958","No"
"PRV53959","Yes"
"PRV53960","No"
"PRV53961","Yes"
"PRV53963","No"
"PRV53964","No"
"PRV53965","No"
"PRV53966","No"
"PRV53967","No"
"PRV53968","No"
"PRV53969","No"
"PRV53970","No"
"PRV53971","No"
"PRV53972","No"
"PRV53973","No"
"PRV53974","No"
"PRV53975","No"
"PRV53977","No"
"PRV53978","No"
"PRV53979","No"
"PRV53980","No"
"PRV53981","No"
"PRV53982","No"
"PRV53983","No"
"PRV53985","Yes"
"PRV53986","No"
"PRV53988","No"
"PRV53989","No"
"PRV53990","No"
"PRV53991","No"
"PRV53992","No"
"PRV53993","No"
"PRV53994","No"
"PRV53995","No"
"PRV53996","No"
"PRV53997","No"
"PRV53999","No"
"PRV54000","No"
"PRV54001","No"
"PRV54002","No"
"PRV54004","No"
"PRV54005","No"
"PRV54006","No"
"PRV54007","No"
"PRV54008","No"
"PRV54009","No"
"PRV54011","No"
"PRV54012","No"
"PRV54013","No"
"PRV54014","No"
"PRV54016","No"
"PRV54017","No"
"PRV54019","No"
"PRV54020","No"
"PRV54021","No"
"PRV54023","No"
"PRV54024","No"
"PRV54025","No"
"PRV54026","No"
"PRV54027","No"
"PRV54028","No"
"PRV54029","No"
"PRV54030","No"
"PRV54031","No"
"PRV54033","No"
"PRV54034","No"
"PRV54036","No"
"PRV54037","No"
"PRV54038","No"
"PRV54039","No"
"PRV54040","No"
"PRV54041","No"
"PRV54043","No"
"PRV54044","No"
"PRV54045","No"
"PRV54046","No"
"PRV54048","No"
"PRV54049","No"
"PRV54050","No"
"PRV54051","No"
"PRV54052","No"
"PRV54053","No"
"PRV54054","No"
"PRV54055","No"
"PRV54056","Yes"
"PRV54057","No"
"PRV54058","No"
"PRV54059","No"
"PRV54060","No"
"PRV54061","No"
"PRV54062","No"
"PRV54063","No"
"PRV54064","No"
"PRV54065","Yes"
"PRV54066","No"
"PRV54068","No"
"PRV54070","Yes"
"PRV54071","No"
"PRV54072","No"
"PRV54073","No"
"PRV54074","Yes"
"PRV54075","Yes"
"PRV54076","No"
"PRV54077","Yes"
"PRV54078","No"
"PRV54080","No"
"PRV54081","No"
"PRV54082","No"
"PRV54083","No"
"PRV54084","No"
"PRV54085","No"
"PRV54086","No"
"PRV54089","No"
"PRV54090","No"
"PRV54091","No"
"PRV54092","No"
"PRV54093","Yes"
"PRV54096","No"
"PRV54098","Yes"
"PRV54099","No"
"PRV54101","No"
"PRV54102","No"
"PRV54103","Yes"
"PRV54106","No"
"PRV54107","No"
"PRV54109","No"
"PRV54110","No"
"PRV54111","Yes"
"PRV54112","No"
"PRV54113","No"
"PRV54114","No"
"PRV54115","No"
"PRV54116","No"
"PRV54117","No"
"PRV54118","No"
"PRV54119","No"
"PRV54120","No"
"PRV54121","No"
"PRV54122","No"
"PRV54123","No"
"PRV54124","No"
"PRV54125","No"
"PRV54127","No"
"PRV54128","No"
"PRV54129","No"
"PRV54130","No"
"PRV54131","No"
"PRV54132","No"
"PRV54133","No"
"PRV54134","No"
"PRV54135","No"
"PRV54136","No"
"PRV54139","No"
"PRV54140","No"
"PRV54141","No"
"PRV54142","No"
"PRV54144","Yes"
"PRV54145","No"
"PRV54146","No"
"PRV54148","No"
"PRV54149","Yes"
"PRV54150","No"
"PRV54153","No"
"PRV54154","No"
"PRV54155","No"
"PRV54156","No"
"PRV54157","No"
"PRV54158","No"
"PRV54159","No"
"PRV54160","No"
"PRV54162","No"
"PRV54163","No"
"PRV54164","No"
"PRV54166","No"
"PRV54167","No"
"PRV54168","No"
"PRV54171","No"
"PRV54172","No"
"PRV54173","No"
"PRV54175","No"
"PRV54176","No"
"PRV54177","No"
"PRV54178","No"
"PRV54179","No"
"PRV54180","No"
"PRV54181","No"
"PRV54182","No"
"PRV54183","No"
"PRV54184","No"
"PRV54185","No"
"PRV54186","No"
"PRV54187","No"
"PRV54188","No"
"PRV54191","No"
"PRV54192","No"
"PRV54193","No"
"PRV54194","No"
"PRV54196","No"
"PRV54197","No"
"PRV54198","No"
"PRV54199","No"
"PRV54200","No"
"PRV54201","No"
"PRV54202","No"
"PRV54203","No"
"PRV54204","No"
"PRV54205","No"
"PRV54206","No"
"PRV54207","No"
"PRV54208","No"
"PRV54209","Yes"
"PRV54210","No"
"PRV54212","No"
"PRV54213","No"
"PRV54215","No"
"PRV54216","No"
"PRV54217","No"
"PRV54219","No"
"PRV54220","No"
"PRV54222","No"
"PRV54223","No"
"PRV54224","No"
"PRV54225","Yes"
"PRV54226","No"
"PRV54227","No"
"PRV54228","No"
"PRV54230","Yes"
"PRV54231","No"
"PRV54232","No"
"PRV54233","No"
"PRV54235","No"
"PRV54237","No"
"PRV54238","No"
"PRV54239","No"
"PRV54240","No"
"PRV54242","No"
"PRV54244","No"
"PRV54245","No"
"PRV54246","No"
"PRV54247","No"
"PRV54250","No"
"PRV54251","No"
"PRV54252","No"
"PRV54253","No"
"PRV54254","No"
"PRV54255","No"
"PRV54256","No"
"PRV54257","No"
"PRV54258","Yes"
"PRV54259","No"
"PRV54261","No"
"PRV54262","No"
"PRV54263","No"
"PRV54265","No"
"PRV54266","No"
"PRV54267","No"
"PRV54269","No"
"PRV54270","No"
"PRV54271","No"
"PRV54273","No"
"PRV54274","No"
"PRV54275","No"
"PRV54276","No"
"PRV54278","No"
"PRV54280","No"
"PRV54282","No"
"PRV54283","No"
"PRV54284","No"
"PRV54285","No"
"PRV54287","No"
"PRV54288","No"
"PRV54289","No"
"PRV54290","No"
"PRV54291","No"
"PRV54293","No"
"PRV54294","No"
"PRV54295","No"
"PRV54296","No"
"PRV54297","Yes"
"PRV54298","No"
"PRV54299","No"
"PRV54300","No"
"PRV54301","No"
"PRV54302","No"
"PRV54303","No"
"PRV54304","No"
"PRV54305","No"
"PRV54306","No"
"PRV54307","No"
"PRV54308","No"
"PRV54309","No"
"PRV54310","No"
"PRV54311","No"
"PRV54312","No"
"PRV54313","No"
"PRV54315","No"
"PRV54316","No"
"PRV54317","No"
"PRV54319","No"
"PRV54320","No"
"PRV54323","Yes"
"PRV54324","No"
"PRV54325","No"
"PRV54326","No"
"PRV54327","Yes"
"PRV54328","No"
"PRV54330","No"
"PRV54332","No"
"PRV54333","Yes"
"PRV54334","No"
"PRV54335","No"
"PRV54336","Yes"
"PRV54337","No"
"PRV54339","No"
"PRV54340","No"
"PRV54341","No"
"PRV54342","No"
"PRV54343","No"
"PRV54344","No"
"PRV54345","No"
"PRV54347","No"
"PRV54348","No"
"PRV54349","No"
"PRV54350","Yes"
"PRV54352","No"
"PRV54353","No"
"PRV54354","Yes"
"PRV54355","No"
"PRV54356","No"
"PRV54357","No"
"PRV54358","No"
"PRV54359","Yes"
"PRV54360","No"
"PRV54361","Yes"
"PRV54362","No"
"PRV54363","No"
"PRV54365","No"
"PRV54367","Yes"
"PRV54368","No"
"PRV54370","No"
"PRV54371","No"
"PRV54372","Yes"
"PRV54373","No"
"PRV54374","No"
"PRV54375","No"
"PRV54377","No"
"PRV54378","No"
"PRV54379","No"
"PRV54380","No"
"PRV54381","No"
"PRV54382","Yes"
"PRV54383","No"
"PRV54384","No"
"PRV54387","No"
"PRV54388","Yes"
"PRV54389","No"
"PRV54390","No"
"PRV54391","Yes"
"PRV54392","No"
"PRV54393","No"
"PRV54396","No"
"PRV54399","Yes"
"PRV54400","No"
"PRV54401","No"
"PRV54402","No"
"PRV54403","No"
"PRV54404","No"
"PRV54407","No"
"PRV54408","No"
"PRV54409","No"
"PRV54410","No"
"PRV54411","No"
"PRV54412","No"
"PRV54413","No"
"PRV54414","No"
"PRV54415","No"
"PRV54416","No"
